B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,回る,蝶,舞う,418,0.418
踊り子,回る,蝶,女性,143,0.143
踊り子,回る,蝶,美しさ,62,0.062
踊り子,回る,蝶,羽,138,0.138
踊り子,回る,蝶,花,36,0.036
踊り子,回る,蝶,空,43,0.043
踊り子,回る,蝶,飛ぶ,23,0.023
踊り子,回る,蝶,儚さ,13,0.013
踊り子,回る,NA,NA,124,0.124
踊り子,女性,蝶,女性,1000,1.0
踊り子,女性,NA,NA,0,0.0
踊り子,スカート,蝶,女性,946,0.946
踊り子,スカート,蝶,美しさ,19,0.019
踊り子,スカート,蝶,舞う,20,0.02
踊り子,スカート,蝶,空,1,0.001
踊り子,スカート,蝶,儚さ,2,0.002
踊り子,スカート,蝶,花,7,0.007
踊り子,スカート,蝶,羽,1,0.001
踊り子,スカート,NA,NA,4,0.004
踊り子,音楽,蝶,美しさ,218,0.218
踊り子,音楽,蝶,舞う,600,0.6
踊り子,音楽,蝶,女性,70,0.07
踊り子,音楽,蝶,花,71,0.071
踊り子,音楽,蝶,儚さ,21,0.021
踊り子,音楽,蝶,飛ぶ,4,0.004
踊り子,音楽,蝶,空,1,0.001
踊り子,音楽,蝶,羽,2,0.002
踊り子,音楽,NA,NA,13,0.013
踊り子,揺れる,蝶,羽,483,0.483
踊り子,揺れる,蝶,儚さ,228,0.228
踊り子,揺れる,蝶,舞う,77,0.077
踊り子,揺れる,蝶,女性,25,0.025
踊り子,揺れる,蝶,美しさ,100,0.1
踊り子,揺れる,蝶,花,25,0.025
踊り子,揺れる,蝶,空,6,0.006
踊り子,揺れる,蝶,飛ぶ,7,0.007
踊り子,揺れる,NA,NA,49,0.049
踊り子,踊り,蝶,女性,345,0.345
踊り子,踊り,蝶,舞う,317,0.317
踊り子,踊り,蝶,美しさ,321,0.321
踊り子,踊り,蝶,飛ぶ,2,0.002
踊り子,踊り,蝶,儚さ,10,0.01
踊り子,踊り,蝶,花,1,0.001
踊り子,踊り,蝶,羽,3,0.003
踊り子,踊り,NA,NA,1,0.001
踊り子,夜,蝶,空,457,0.457
踊り子,夜,蝶,儚さ,481,0.481
踊り子,夜,蝶,美しさ,35,0.035
踊り子,夜,蝶,飛ぶ,3,0.003
踊り子,夜,蝶,舞う,10,0.01
踊り子,夜,蝶,女性,5,0.005
踊り子,夜,蝶,羽,1,0.001
踊り子,夜,NA,NA,8,0.008
踊り子,舞台,蝶,舞う,736,0.736
踊り子,舞台,蝶,女性,161,0.161
踊り子,舞台,蝶,花,26,0.026
踊り子,舞台,蝶,美しさ,56,0.056
踊り子,舞台,蝶,空,10,0.01
踊り子,舞台,蝶,飛ぶ,3,0.003
踊り子,舞台,蝶,儚さ,4,0.004
踊り子,舞台,NA,NA,4,0.004
