B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,回る,蝶,羽,150,0.15
踊り子,回る,蝶,空,201,0.201
踊り子,回る,蝶,女性,173,0.173
踊り子,回る,蝶,儚さ,45,0.045
踊り子,回る,蝶,飛ぶ,59,0.059
踊り子,回る,蝶,美しさ,105,0.105
踊り子,回る,蝶,花,27,0.027
踊り子,回る,蝶,舞う,132,0.132
踊り子,回る,NA,NA,108,0.108
踊り子,女性,蝶,花,334,0.334
踊り子,女性,蝶,女性,76,0.076
踊り子,女性,蝶,舞う,158,0.158
踊り子,女性,蝶,美しさ,53,0.053
踊り子,女性,蝶,儚さ,124,0.124
踊り子,女性,蝶,羽,111,0.111
踊り子,女性,蝶,飛ぶ,18,0.018
踊り子,女性,蝶,空,18,0.018
踊り子,女性,NA,NA,108,0.108
回る,女性,羽,花,52,0.052
回る,女性,空,女性,35,0.035
回る,女性,空,花,166,0.166
回る,女性,女性,舞う,89,0.089
回る,女性,儚さ,女性,9,0.009
回る,女性,飛ぶ,美しさ,50,0.05
回る,女性,羽,儚さ,84,0.084
回る,女性,女性,羽,52,0.052
回る,女性,美しさ,儚さ,11,0.011
回る,女性,美しさ,舞う,59,0.059
回る,女性,花,飛ぶ,6,0.006
回る,女性,儚さ,羽,26,0.026
回る,女性,舞う,花,104,0.104
回る,女性,舞う,儚さ,17,0.017
回る,女性,羽,女性,14,0.014
回る,女性,美しさ,飛ぶ,7,0.007
回る,女性,美しさ,羽,19,0.019
回る,女性,花,羽,11,0.011
回る,女性,美しさ,空,4,0.004
回る,女性,儚さ,舞う,10,0.01
回る,女性,女性,花,5,0.005
回る,女性,舞う,飛ぶ,2,0.002
回る,女性,女性,空,12,0.012
回る,女性,花,女性,8,0.008
回る,女性,女性,美しさ,3,0.003
回る,女性,飛ぶ,儚さ,3,0.003
回る,女性,舞う,女性,6,0.006
回る,女性,女性,儚さ,9,0.009
回る,女性,女性,飛ぶ,3,0.003
回る,女性,美しさ,花,4,0.004
回る,女性,舞う,羽,3,0.003
回る,女性,花,空,2,0.002
回る,女性,飛ぶ,花,3,0.003
回る,女性,飛ぶ,女性,3,0.003
回る,女性,美しさ,女性,1,0.001
回る,女性,NA,NA,108,0.108
