B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,舞う,323,0.323
踊り子,踊り,蝶,羽,311,0.311
踊り子,踊り,蝶,飛ぶ,41,0.041
踊り子,踊り,蝶,美しさ,72,0.072
踊り子,踊り,蝶,花,99,0.099
踊り子,踊り,蝶,儚さ,16,0.016
踊り子,踊り,蝶,女性,25,0.025
踊り子,踊り,NA,NA,113,0.113
踊り子,回る,蝶,飛ぶ,35,0.035
踊り子,回る,蝶,女性,133,0.133
踊り子,回る,蝶,舞う,302,0.302
踊り子,回る,蝶,儚さ,24,0.024
踊り子,回る,蝶,空,119,0.119
踊り子,回る,蝶,花,111,0.111
踊り子,回る,蝶,美しさ,103,0.103
踊り子,回る,蝶,羽,60,0.06
踊り子,回る,NA,NA,113,0.113
回る,踊り,飛ぶ,舞う,30,0.03
回る,踊り,女性,舞う,59,0.059
回る,踊り,舞う,羽,233,0.233
回る,踊り,儚さ,舞う,7,0.007
回る,踊り,舞う,飛ぶ,36,0.036
回る,踊り,空,美しさ,14,0.014
回る,踊り,女性,花,52,0.052
回る,踊り,花,舞う,101,0.101
回る,踊り,美しさ,羽,52,0.052
回る,踊り,空,舞う,98,0.098
回る,踊り,羽,美しさ,50,0.05
回る,踊り,美しさ,花,17,0.017
回る,踊り,花,羽,8,0.008
回る,踊り,女性,美しさ,3,0.003
回る,踊り,美しさ,儚さ,9,0.009
回る,踊り,女性,儚さ,6,0.006
回る,踊り,美しさ,舞う,21,0.021
回る,踊り,儚さ,女性,4,0.004
回る,踊り,空,飛ぶ,4,0.004
回る,踊り,女性,羽,13,0.013
回る,踊り,美しさ,女性,3,0.003
回る,踊り,舞う,花,19,0.019
回る,踊り,舞う,女性,13,0.013
回る,踊り,儚さ,花,11,0.011
回る,踊り,羽,女性,3,0.003
回る,踊り,羽,舞う,7,0.007
回る,踊り,飛ぶ,美しさ,3,0.003
回る,踊り,美しさ,飛ぶ,1,0.001
回る,踊り,舞う,美しさ,1,0.001
回る,踊り,飛ぶ,羽,2,0.002
回る,踊り,花,儚さ,1,0.001
回る,踊り,空,女性,1,0.001
回る,踊り,空,羽,2,0.002
回る,踊り,花,女性,1,0.001
回る,踊り,儚さ,羽,1,0.001
回る,踊り,儚さ,美しさ,1,0.001
回る,踊り,NA,NA,113,0.113
