B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,夜,蝶,儚さ,625,0.625
踊り子,夜,蝶,空,283,0.283
踊り子,夜,蝶,美しさ,29,0.029
踊り子,夜,蝶,女性,15,0.015
踊り子,夜,蝶,花,6,0.006
踊り子,夜,蝶,羽,1,0.001
踊り子,夜,蝶,飛ぶ,8,0.008
踊り子,夜,蝶,舞う,4,0.004
踊り子,夜,NA,NA,29,0.029
踊り子,音楽,蝶,舞う,513,0.513
踊り子,音楽,蝶,女性,120,0.12
踊り子,音楽,蝶,空,21,0.021
踊り子,音楽,蝶,羽,41,0.041
踊り子,音楽,蝶,花,202,0.202
踊り子,音楽,蝶,儚さ,32,0.032
踊り子,音楽,蝶,美しさ,35,0.035
踊り子,音楽,蝶,飛ぶ,7,0.007
踊り子,音楽,NA,NA,29,0.029
夜,音楽,儚さ,舞う,475,0.475
夜,音楽,儚さ,女性,76,0.076
夜,音楽,空,女性,44,0.044
夜,音楽,美しさ,空,4,0.004
夜,音楽,儚さ,羽,35,0.035
夜,音楽,空,花,189,0.189
夜,音楽,空,儚さ,29,0.029
夜,音楽,女性,舞う,12,0.012
夜,音楽,美しさ,儚さ,2,0.002
夜,音楽,空,美しさ,16,0.016
夜,音楽,儚さ,美しさ,12,0.012
夜,音楽,花,舞う,2,0.002
夜,音楽,空,舞う,5,0.005
夜,音楽,儚さ,空,15,0.015
夜,音楽,美しさ,羽,3,0.003
夜,音楽,美しさ,舞う,19,0.019
夜,音楽,羽,花,1,0.001
夜,音楽,飛ぶ,花,1,0.001
夜,音楽,美しさ,花,1,0.001
夜,音楽,花,羽,3,0.003
夜,音楽,花,空,1,0.001
夜,音楽,儚さ,花,6,0.006
夜,音楽,儚さ,飛ぶ,6,0.006
夜,音楽,女性,飛ぶ,1,0.001
夜,音楽,舞う,花,4,0.004
夜,音楽,飛ぶ,美しさ,7,0.007
夜,音楽,女性,儚さ,1,0.001
夜,音楽,女性,空,1,0.001
夜,音楽,NA,NA,29,0.029
