B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,美しさ,26,0.026
踊り子,踊り,蝶,羽,287,0.287
踊り子,踊り,蝶,舞う,545,0.545
踊り子,踊り,蝶,花,64,0.064
踊り子,踊り,蝶,女性,14,0.014
踊り子,踊り,蝶,儚さ,19,0.019
踊り子,踊り,蝶,飛ぶ,44,0.044
踊り子,踊り,NA,NA,1,0.001
踊り子,女性,蝶,羽,25,0.025
踊り子,女性,蝶,舞う,232,0.232
踊り子,女性,蝶,花,489,0.489
踊り子,女性,蝶,女性,97,0.097
踊り子,女性,蝶,美しさ,124,0.124
踊り子,女性,蝶,儚さ,5,0.005
踊り子,女性,蝶,飛ぶ,14,0.014
踊り子,女性,蝶,空,13,0.013
踊り子,女性,NA,NA,1,0.001
女性,踊り,羽,美しさ,22,0.022
女性,踊り,舞う,羽,171,0.171
女性,踊り,花,舞う,484,0.484
女性,踊り,女性,花,48,0.048
女性,踊り,美しさ,羽,107,0.107
女性,踊り,舞う,花,16,0.016
女性,踊り,儚さ,女性,5,0.005
女性,踊り,女性,舞う,37,0.037
女性,踊り,飛ぶ,舞う,14,0.014
女性,踊り,美しさ,儚さ,17,0.017
女性,踊り,舞う,飛ぶ,44,0.044
女性,踊り,花,女性,5,0.005
女性,踊り,羽,女性,3,0.003
女性,踊り,空,舞う,10,0.01
女性,踊り,女性,羽,9,0.009
女性,踊り,空,美しさ,3,0.003
女性,踊り,女性,儚さ,2,0.002
女性,踊り,舞う,女性,1,0.001
女性,踊り,女性,美しさ,1,0.001
女性,踊り,NA,NA,1,0.001
