B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,儚さ,442,0.442
踊り子,揺れる,蝶,羽,233,0.233
踊り子,揺れる,蝶,女性,32,0.032
踊り子,揺れる,蝶,舞う,50,0.05
踊り子,揺れる,蝶,空,25,0.025
踊り子,揺れる,蝶,花,41,0.041
踊り子,揺れる,蝶,美しさ,118,0.118
踊り子,揺れる,蝶,飛ぶ,4,0.004
踊り子,揺れる,NA,NA,55,0.055
踊り子,スカート,蝶,女性,606,0.606
踊り子,スカート,蝶,美しさ,155,0.155
踊り子,スカート,蝶,儚さ,32,0.032
踊り子,スカート,蝶,羽,68,0.068
踊り子,スカート,蝶,舞う,55,0.055
踊り子,スカート,蝶,空,21,0.021
踊り子,スカート,蝶,花,6,0.006
踊り子,スカート,蝶,飛ぶ,2,0.002
踊り子,スカート,NA,NA,55,0.055
揺れる,スカート,儚さ,女性,421,0.421
揺れる,スカート,羽,美しさ,126,0.126
揺れる,スカート,女性,儚さ,14,0.014
揺れる,スカート,舞う,羽,22,0.022
揺れる,スカート,羽,女性,103,0.103
揺れる,スカート,空,美しさ,15,0.015
揺れる,スカート,花,女性,11,0.011
揺れる,スカート,美しさ,羽,42,0.042
揺れる,スカート,花,舞う,30,0.03
揺れる,スカート,女性,羽,3,0.003
揺れる,スカート,美しさ,女性,40,0.04
揺れる,スカート,儚さ,美しさ,9,0.009
揺れる,スカート,美しさ,空,18,0.018
揺れる,スカート,儚さ,空,2,0.002
揺れる,スカート,儚さ,羽,1,0.001
揺れる,スカート,女性,舞う,10,0.01
揺れる,スカート,飛ぶ,美しさ,2,0.002
揺れる,スカート,儚さ,舞う,6,0.006
揺れる,スカート,空,儚さ,1,0.001
揺れる,スカート,空,女性,3,0.003
揺れる,スカート,美しさ,儚さ,16,0.016
揺れる,スカート,女性,美しさ,3,0.003
揺れる,スカート,舞う,女性,27,0.027
揺れる,スカート,羽,花,1,0.001
揺れる,スカート,女性,飛ぶ,1,0.001
揺れる,スカート,空,舞う,6,0.006
揺れる,スカート,羽,空,1,0.001
揺れる,スカート,舞う,飛ぶ,1,0.001
揺れる,スカート,飛ぶ,舞う,1,0.001
揺れる,スカート,儚さ,花,3,0.003
揺れる,スカート,美しさ,舞う,1,0.001
揺れる,スカート,羽,舞う,1,0.001
揺れる,スカート,羽,儚さ,1,0.001
揺れる,スカート,飛ぶ,女性,1,0.001
揺れる,スカート,女性,花,1,0.001
揺れる,スカート,美しさ,花,1,0.001
揺れる,スカート,NA,NA,55,0.055
