B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,回る,蝶,舞う,229,0.229
踊り子,回る,蝶,女性,162,0.162
踊り子,回る,蝶,羽,208,0.208
踊り子,回る,蝶,花,39,0.039
踊り子,回る,蝶,空,76,0.076
踊り子,回る,蝶,飛ぶ,22,0.022
踊り子,回る,蝶,美しさ,119,0.119
踊り子,回る,蝶,儚さ,29,0.029
踊り子,回る,NA,NA,116,0.116
踊り子,舞台,蝶,空,20,0.02
踊り子,舞台,蝶,飛ぶ,43,0.043
踊り子,舞台,蝶,舞う,402,0.402
踊り子,舞台,蝶,花,209,0.209
踊り子,舞台,蝶,羽,129,0.129
踊り子,舞台,蝶,美しさ,45,0.045
踊り子,舞台,蝶,儚さ,12,0.012
踊り子,舞台,蝶,女性,24,0.024
踊り子,舞台,NA,NA,116,0.116
舞台,回る,空,舞う,10,0.01
舞台,回る,飛ぶ,舞う,20,0.02
舞台,回る,舞う,女性,87,0.087
舞台,回る,花,舞う,172,0.172
舞台,回る,羽,舞う,10,0.01
舞台,回る,羽,女性,47,0.047
舞台,回る,舞う,羽,184,0.184
舞台,回る,舞う,花,33,0.033
舞台,回る,舞う,空,51,0.051
舞台,回る,舞う,飛ぶ,21,0.021
舞台,回る,羽,美しさ,61,0.061
舞台,回る,空,美しさ,9,0.009
舞台,回る,舞う,美しさ,24,0.024
舞台,回る,羽,空,10,0.01
舞台,回る,飛ぶ,美しさ,21,0.021
舞台,回る,美しさ,儚さ,21,0.021
舞台,回る,儚さ,女性,8,0.008
舞台,回る,女性,儚さ,3,0.003
舞台,回る,花,女性,13,0.013
舞台,回る,美しさ,女性,6,0.006
舞台,回る,儚さ,空,1,0.001
舞台,回る,女性,羽,3,0.003
舞台,回る,花,羽,13,0.013
舞台,回る,女性,舞う,12,0.012
舞台,回る,花,空,8,0.008
舞台,回る,羽,花,1,0.001
舞台,回る,空,飛ぶ,1,0.001
舞台,回る,舞う,儚さ,2,0.002
舞台,回る,花,儚さ,2,0.002
舞台,回る,美しさ,空,5,0.005
舞台,回る,美しさ,羽,8,0.008
舞台,回る,美しさ,舞う,5,0.005
舞台,回る,女性,空,1,0.001
舞台,回る,女性,花,4,0.004
舞台,回る,女性,美しさ,1,0.001
舞台,回る,飛ぶ,女性,1,0.001
舞台,回る,飛ぶ,儚さ,1,0.001
舞台,回る,儚さ,美しさ,2,0.002
舞台,回る,儚さ,花,1,0.001
舞台,回る,花,美しさ,1,0.001
舞台,回る,NA,NA,116,0.116
