B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,スカート,蝶,女性,710,0.71
踊り子,スカート,蝶,舞う,202,0.202
踊り子,スカート,蝶,美しさ,62,0.062
踊り子,スカート,蝶,羽,7,0.007
踊り子,スカート,蝶,空,10,0.01
踊り子,スカート,蝶,花,5,0.005
踊り子,スカート,NA,NA,4,0.004
踊り子,踊り,蝶,舞う,615,0.615
踊り子,踊り,蝶,飛ぶ,209,0.209
踊り子,踊り,蝶,美しさ,38,0.038
踊り子,踊り,蝶,花,51,0.051
踊り子,踊り,蝶,羽,71,0.071
踊り子,踊り,蝶,女性,4,0.004
踊り子,踊り,蝶,儚さ,6,0.006
踊り子,踊り,蝶,空,2,0.002
踊り子,踊り,NA,NA,4,0.004
踊り,スカート,舞う,女性,593,0.593
踊り,スカート,飛ぶ,舞う,199,0.199
踊り,スカート,美しさ,女性,37,0.037
踊り,スカート,花,女性,49,0.049
踊り,スカート,羽,女性,28,0.028
踊り,スカート,羽,美しさ,39,0.039
踊り,スカート,飛ぶ,羽,2,0.002
踊り,スカート,飛ぶ,美しさ,8,0.008
踊り,スカート,舞う,羽,4,0.004
踊り,スカート,舞う,空,7,0.007
踊り,スカート,羽,空,3,0.003
踊り,スカート,羽,舞う,1,0.001
踊り,スカート,女性,美しさ,2,0.002
踊り,スカート,女性,花,1,0.001
踊り,スカート,儚さ,美しさ,3,0.003
踊り,スカート,舞う,花,4,0.004
踊り,スカート,舞う,美しさ,7,0.007
踊り,スカート,空,美しさ,2,0.002
踊り,スカート,儚さ,女性,3,0.003
踊り,スカート,美しさ,羽,1,0.001
踊り,スカート,女性,舞う,1,0.001
踊り,スカート,花,舞う,1,0.001
踊り,スカート,花,美しさ,1,0.001
踊り,スカート,NA,NA,4,0.004
