B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,舞う,650,0.65
踊り子,踊り,蝶,美しさ,67,0.067
踊り子,踊り,蝶,飛ぶ,163,0.163
踊り子,踊り,蝶,羽,59,0.059
踊り子,踊り,蝶,儚さ,3,0.003
踊り子,踊り,蝶,花,42,0.042
踊り子,踊り,蝶,女性,16,0.016
踊り子,踊り,NA,NA,0,0.0
踊り子,女性,蝶,美しさ,564,0.564
踊り子,女性,蝶,女性,212,0.212
踊り子,女性,蝶,羽,162,0.162
踊り子,女性,蝶,舞う,59,0.059
踊り子,女性,蝶,花,3,0.003
踊り子,女性,NA,NA,0,0.0
踊り,女性,舞う,美しさ,548,0.548
踊り,女性,舞う,女性,102,0.102
踊り,女性,美しさ,女性,67,0.067
踊り,女性,飛ぶ,羽,162,0.162
踊り,女性,羽,舞う,58,0.058
踊り,女性,儚さ,美しさ,1,0.001
踊り,女性,花,女性,42,0.042
踊り,女性,女性,美しさ,14,0.014
踊り,女性,飛ぶ,舞う,1,0.001
踊り,女性,儚さ,女性,1,0.001
踊り,女性,女性,花,2,0.002
踊り,女性,儚さ,花,1,0.001
踊り,女性,羽,美しさ,1,0.001
踊り,女性,NA,NA,0,0.0
