B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,女性,214,0.214
踊り子,揺れる,蝶,美しさ,214,0.214
踊り子,揺れる,蝶,舞う,78,0.078
踊り子,揺れる,蝶,花,44,0.044
踊り子,揺れる,蝶,空,41,0.041
踊り子,揺れる,蝶,羽,115,0.115
踊り子,揺れる,蝶,儚さ,230,0.23
踊り子,揺れる,蝶,飛ぶ,8,0.008
踊り子,揺れる,NA,NA,56,0.056
踊り子,踊り,蝶,美しさ,104,0.104
踊り子,踊り,蝶,舞う,429,0.429
踊り子,踊り,蝶,羽,84,0.084
踊り子,踊り,蝶,女性,53,0.053
踊り子,踊り,蝶,飛ぶ,97,0.097
踊り子,踊り,蝶,花,175,0.175
踊り子,踊り,蝶,儚さ,1,0.001
踊り子,踊り,蝶,空,1,0.001
踊り子,踊り,NA,NA,56,0.056
踊り,揺れる,美しさ,女性,23,0.023
踊り,揺れる,舞う,美しさ,186,0.186
踊り,揺れる,羽,舞う,58,0.058
踊り,揺れる,女性,花,32,0.032
踊り,揺れる,舞う,空,16,0.016
踊り,揺れる,飛ぶ,羽,81,0.081
踊り,揺れる,美しさ,儚さ,63,0.063
踊り,揺れる,舞う,羽,26,0.026
踊り,揺れる,舞う,女性,186,0.186
踊り,揺れる,美しさ,舞う,2,0.002
踊り,揺れる,花,美しさ,12,0.012
踊り,揺れる,花,儚さ,153,0.153
踊り,揺れる,羽,空,21,0.021
踊り,揺れる,舞う,飛ぶ,4,0.004
踊り,揺れる,舞う,儚さ,10,0.01
踊り,揺れる,美しさ,羽,5,0.005
踊り,揺れる,女性,舞う,3,0.003
踊り,揺れる,飛ぶ,空,3,0.003
踊り,揺れる,羽,美しさ,1,0.001
踊り,揺れる,美しさ,花,10,0.01
踊り,揺れる,女性,美しさ,13,0.013
踊り,揺れる,女性,儚さ,4,0.004
踊り,揺れる,花,舞う,4,0.004
踊り,揺れる,羽,飛ぶ,4,0.004
踊り,揺れる,女性,羽,1,0.001
踊り,揺れる,花,羽,1,0.001
踊り,揺れる,飛ぶ,美しさ,1,0.001
踊り,揺れる,飛ぶ,舞う,11,0.011
踊り,揺れる,花,女性,5,0.005
踊り,揺れる,儚さ,美しさ,1,0.001
踊り,揺れる,空,羽,1,0.001
踊り,揺れる,飛ぶ,花,1,0.001
踊り,揺れる,美しさ,空,1,0.001
踊り,揺れる,舞う,花,1,0.001
踊り,揺れる,NA,NA,56,0.056
