B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,スカート,蝶,女性,407,0.407
踊り子,スカート,蝶,舞う,247,0.247
踊り子,スカート,蝶,花,48,0.048
踊り子,スカート,蝶,儚さ,24,0.024
踊り子,スカート,蝶,飛ぶ,85,0.085
踊り子,スカート,蝶,羽,88,0.088
踊り子,スカート,蝶,空,74,0.074
踊り子,スカート,蝶,美しさ,11,0.011
踊り子,スカート,NA,NA,16,0.016
踊り子,音楽,蝶,空,188,0.188
踊り子,音楽,蝶,舞う,107,0.107
踊り子,音楽,蝶,飛ぶ,75,0.075
踊り子,音楽,蝶,美しさ,160,0.16
踊り子,音楽,蝶,女性,268,0.268
踊り子,音楽,蝶,羽,53,0.053
踊り子,音楽,蝶,花,77,0.077
踊り子,音楽,蝶,儚さ,56,0.056
踊り子,音楽,NA,NA,16,0.016
音楽,スカート,空,女性,182,0.182
音楽,スカート,舞う,女性,53,0.053
音楽,スカート,飛ぶ,女性,72,0.072
音楽,スカート,美しさ,舞う,84,0.084
音楽,スカート,舞う,花,30,0.03
音楽,スカート,女性,舞う,139,0.139
音楽,スカート,羽,女性,36,0.036
音楽,スカート,舞う,儚さ,16,0.016
音楽,スカート,美しさ,飛ぶ,48,0.048
音楽,スカート,美しさ,羽,7,0.007
音楽,スカート,花,女性,25,0.025
音楽,スカート,女性,空,61,0.061
音楽,スカート,女性,羽,42,0.042
音楽,スカート,儚さ,羽,11,0.011
音楽,スカート,羽,美しさ,1,0.001
音楽,スカート,儚さ,舞う,13,0.013
音楽,スカート,羽,花,12,0.012
音楽,スカート,女性,飛ぶ,19,0.019
音楽,スカート,花,羽,23,0.023
音楽,スカート,空,花,4,0.004
音楽,スカート,羽,儚さ,4,0.004
音楽,スカート,花,舞う,11,0.011
音楽,スカート,儚さ,飛ぶ,4,0.004
音楽,スカート,美しさ,女性,12,0.012
音楽,スカート,儚さ,美しさ,1,0.001
音楽,スカート,儚さ,女性,27,0.027
音楽,スカート,女性,美しさ,5,0.005
音楽,スカート,舞う,美しさ,2,0.002
音楽,スカート,花,飛ぶ,12,0.012
音楽,スカート,美しさ,空,7,0.007
音楽,スカート,空,美しさ,1,0.001
音楽,スカート,空,飛ぶ,1,0.001
音楽,スカート,飛ぶ,美しさ,1,0.001
音楽,スカート,飛ぶ,花,2,0.002
音楽,スカート,舞う,羽,5,0.005
音楽,スカート,花,空,6,0.006
音楽,スカート,舞う,飛ぶ,1,0.001
音楽,スカート,女性,儚さ,2,0.002
音楽,スカート,美しさ,儚さ,2,0.002
音楽,スカート,NA,NA,16,0.016
