B_dom,B_cod,A_dom,A_cod,count,probability
音楽,回る,花,女性,7,0.007
音楽,回る,花,舞う,11,0.011
音楽,回る,女性,羽,38,0.038
音楽,回る,飛ぶ,花,5,0.005
音楽,回る,空,女性,52,0.052
音楽,回る,女性,舞う,131,0.131
音楽,回る,美しさ,飛ぶ,37,0.037
音楽,回る,儚さ,花,3,0.003
音楽,回る,花,飛ぶ,54,0.054
音楽,回る,女性,空,113,0.113
音楽,回る,舞う,花,13,0.013
音楽,回る,舞う,儚さ,16,0.016
音楽,回る,羽,舞う,1,0.001
音楽,回る,儚さ,舞う,11,0.011
音楽,回る,空,美しさ,10,0.01
音楽,回る,美しさ,舞う,73,0.073
音楽,回る,飛ぶ,美しさ,16,0.016
音楽,回る,羽,女性,14,0.014
音楽,回る,儚さ,羽,33,0.033
音楽,回る,花,空,15,0.015
音楽,回る,儚さ,女性,8,0.008
音楽,回る,女性,飛ぶ,14,0.014
音楽,回る,美しさ,羽,6,0.006
音楽,回る,飛ぶ,儚さ,3,0.003
音楽,回る,飛ぶ,女性,24,0.024
音楽,回る,美しさ,女性,3,0.003
音楽,回る,舞う,女性,16,0.016
音楽,回る,舞う,羽,10,0.01
音楽,回る,美しさ,空,19,0.019
音楽,回る,羽,花,7,0.007
音楽,回る,羽,儚さ,7,0.007
音楽,回る,花,羽,20,0.02
音楽,回る,空,花,14,0.014
音楽,回る,儚さ,飛ぶ,3,0.003
音楽,回る,美しさ,花,2,0.002
音楽,回る,美しさ,儚さ,4,0.004
音楽,回る,女性,花,5,0.005
音楽,回る,儚さ,美しさ,8,0.008
音楽,回る,舞う,美しさ,8,0.008
音楽,回る,舞う,空,2,0.002
音楽,回る,女性,儚さ,3,0.003
音楽,回る,女性,美しさ,2,0.002
音楽,回る,飛ぶ,舞う,1,0.001
音楽,回る,舞う,飛ぶ,2,0.002
音楽,回る,儚さ,空,1,0.001
音楽,回る,羽,美しさ,2,0.002
音楽,回る,花,美しさ,1,0.001
音楽,回る,花,儚さ,1,0.001
音楽,回る,NA,NA,151,0.151
踊り子,回る,蝶,女性,124,0.124
踊り子,回る,蝶,舞う,228,0.228
踊り子,回る,蝶,羽,107,0.107
踊り子,回る,蝶,花,49,0.049
踊り子,回る,蝶,飛ぶ,110,0.11
踊り子,回る,蝶,空,150,0.15
踊り子,回る,蝶,儚さ,34,0.034
踊り子,回る,蝶,美しさ,47,0.047
踊り子,回る,NA,NA,151,0.151
踊り子,音楽,蝶,花,109,0.109
踊り子,音楽,蝶,女性,306,0.306
踊り子,音楽,蝶,飛ぶ,49,0.049
踊り子,音楽,蝶,空,76,0.076
踊り子,音楽,蝶,美しさ,144,0.144
踊り子,音楽,蝶,儚さ,67,0.067
踊り子,音楽,蝶,舞う,67,0.067
踊り子,音楽,蝶,羽,31,0.031
踊り子,音楽,NA,NA,151,0.151
