B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,夜,蝶,空,728,0.728
踊り子,夜,蝶,飛ぶ,20,0.02
踊り子,夜,蝶,儚さ,166,0.166
踊り子,夜,蝶,花,13,0.013
踊り子,夜,蝶,女性,20,0.02
踊り子,夜,蝶,美しさ,20,0.02
踊り子,夜,蝶,舞う,17,0.017
踊り子,夜,蝶,羽,5,0.005
踊り子,夜,NA,NA,11,0.011
踊り子,スカート,蝶,女性,874,0.874
踊り子,スカート,蝶,羽,49,0.049
踊り子,スカート,蝶,飛ぶ,20,0.02
踊り子,スカート,蝶,美しさ,24,0.024
踊り子,スカート,蝶,舞う,9,0.009
踊り子,スカート,蝶,空,8,0.008
踊り子,スカート,蝶,儚さ,2,0.002
踊り子,スカート,蝶,花,3,0.003
踊り子,スカート,NA,NA,11,0.011
スカート,夜,女性,空,707,0.707
スカート,夜,女性,飛ぶ,19,0.019
スカート,夜,女性,儚さ,114,0.114
スカート,夜,羽,花,6,0.006
スカート,夜,飛ぶ,女性,6,0.006
スカート,夜,女性,美しさ,14,0.014
スカート,夜,女性,舞う,16,0.016
スカート,夜,羽,女性,3,0.003
スカート,夜,美しさ,空,18,0.018
スカート,夜,舞う,儚さ,2,0.002
スカート,夜,飛ぶ,儚さ,11,0.011
スカート,夜,舞う,花,4,0.004
スカート,夜,羽,儚さ,38,0.038
スカート,夜,飛ぶ,花,1,0.001
スカート,夜,空,女性,7,0.007
スカート,夜,舞う,女性,2,0.002
スカート,夜,儚さ,美しさ,2,0.002
スカート,夜,女性,羽,4,0.004
スカート,夜,美しさ,花,1,0.001
スカート,夜,羽,美しさ,2,0.002
スカート,夜,飛ぶ,美しさ,2,0.002
スカート,夜,美しさ,女性,2,0.002
スカート,夜,花,空,2,0.002
スカート,夜,舞う,空,1,0.001
スカート,夜,美しさ,舞う,1,0.001
スカート,夜,美しさ,飛ぶ,1,0.001
スカート,夜,空,花,1,0.001
スカート,夜,花,羽,1,0.001
スカート,夜,美しさ,儚さ,1,0.001
スカート,夜,NA,NA,11,0.011
