B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,スカート,蝶,女性,652,0.652
踊り子,スカート,蝶,羽,124,0.124
踊り子,スカート,蝶,舞う,42,0.042
踊り子,スカート,蝶,美しさ,78,0.078
踊り子,スカート,蝶,空,48,0.048
踊り子,スカート,蝶,飛ぶ,27,0.027
踊り子,スカート,蝶,儚さ,10,0.01
踊り子,スカート,蝶,花,2,0.002
踊り子,スカート,NA,NA,17,0.017
踊り子,音楽,蝶,空,217,0.217
踊り子,音楽,蝶,飛ぶ,92,0.092
踊り子,音楽,蝶,舞う,310,0.31
踊り子,音楽,蝶,花,185,0.185
踊り子,音楽,蝶,羽,22,0.022
踊り子,音楽,蝶,女性,67,0.067
踊り子,音楽,蝶,儚さ,49,0.049
踊り子,音楽,蝶,美しさ,41,0.041
踊り子,音楽,NA,NA,17,0.017
スカート,音楽,女性,空,215,0.215
スカート,音楽,女性,飛ぶ,37,0.037
スカート,音楽,女性,舞う,299,0.299
スカート,音楽,羽,花,96,0.096
スカート,音楽,舞う,花,35,0.035
スカート,音楽,女性,羽,20,0.02
スカート,音楽,美しさ,飛ぶ,55,0.055
スカート,音楽,空,女性,32,0.032
スカート,音楽,飛ぶ,花,18,0.018
スカート,音楽,羽,女性,10,0.01
スカート,音楽,女性,儚さ,35,0.035
スカート,音楽,女性,花,22,0.022
スカート,音楽,舞う,美しさ,3,0.003
スカート,音楽,儚さ,女性,6,0.006
スカート,音楽,女性,美しさ,24,0.024
スカート,音楽,舞う,儚さ,2,0.002
スカート,音楽,美しさ,女性,12,0.012
スカート,音楽,儚さ,美しさ,3,0.003
スカート,音楽,美しさ,舞う,10,0.01
スカート,音楽,花,羽,1,0.001
スカート,音楽,空,花,14,0.014
スカート,音楽,飛ぶ,女性,5,0.005
スカート,音楽,空,美しさ,2,0.002
スカート,音楽,飛ぶ,美しさ,2,0.002
スカート,音楽,飛ぶ,儚さ,2,0.002
スカート,音楽,羽,美しさ,7,0.007
スカート,音楽,羽,儚さ,10,0.01
スカート,音楽,舞う,女性,2,0.002
スカート,音楽,美しさ,空,1,0.001
スカート,音楽,花,舞う,1,0.001
スカート,音楽,羽,空,1,0.001
スカート,音楽,儚さ,羽,1,0.001
スカート,音楽,NA,NA,17,0.017
