B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,夜,蝶,空,695,0.695
踊り子,夜,蝶,儚さ,188,0.188
踊り子,夜,蝶,美しさ,36,0.036
踊り子,夜,蝶,舞う,5,0.005
踊り子,夜,蝶,飛ぶ,27,0.027
踊り子,夜,蝶,羽,4,0.004
踊り子,夜,蝶,花,4,0.004
踊り子,夜,蝶,女性,21,0.021
踊り子,夜,NA,NA,20,0.02
踊り子,スカート,蝶,女性,816,0.816
踊り子,スカート,蝶,儚さ,5,0.005
踊り子,スカート,蝶,飛ぶ,31,0.031
踊り子,スカート,蝶,羽,57,0.057
踊り子,スカート,蝶,美しさ,12,0.012
踊り子,スカート,蝶,舞う,29,0.029
踊り子,スカート,蝶,花,19,0.019
踊り子,スカート,蝶,空,11,0.011
踊り子,スカート,NA,NA,20,0.02
夜,スカート,空,女性,670,0.67
夜,スカート,儚さ,女性,106,0.106
夜,スカート,美しさ,儚さ,3,0.003
夜,スカート,儚さ,飛ぶ,24,0.024
夜,スカート,舞う,女性,1,0.001
夜,スカート,儚さ,羽,46,0.046
夜,スカート,空,美しさ,10,0.01
夜,スカート,美しさ,舞う,13,0.013
夜,スカート,飛ぶ,女性,27,0.027
夜,スカート,美しさ,羽,8,0.008
夜,スカート,羽,花,1,0.001
夜,スカート,空,花,15,0.015
夜,スカート,花,羽,1,0.001
夜,スカート,女性,飛ぶ,3,0.003
夜,スカート,女性,舞う,7,0.007
夜,スカート,儚さ,美しさ,1,0.001
夜,スカート,女性,羽,2,0.002
夜,スカート,女性,空,7,0.007
夜,スカート,羽,儚さ,1,0.001
夜,スカート,儚さ,空,2,0.002
夜,スカート,儚さ,舞う,9,0.009
夜,スカート,舞う,儚さ,1,0.001
夜,スカート,美しさ,空,1,0.001
夜,スカート,花,飛ぶ,1,0.001
夜,スカート,美しさ,女性,8,0.008
夜,スカート,羽,女性,2,0.002
夜,スカート,美しさ,飛ぶ,3,0.003
夜,スカート,花,女性,2,0.002
夜,スカート,舞う,花,2,0.002
夜,スカート,女性,花,1,0.001
夜,スカート,舞う,空,1,0.001
夜,スカート,女性,美しさ,1,0.001
夜,スカート,NA,NA,20,0.02
