B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,儚さ,390,0.39
踊り子,揺れる,蝶,羽,99,0.099
踊り子,揺れる,蝶,女性,103,0.103
踊り子,揺れる,蝶,美しさ,117,0.117
踊り子,揺れる,蝶,舞う,60,0.06
踊り子,揺れる,蝶,花,37,0.037
踊り子,揺れる,蝶,空,22,0.022
踊り子,揺れる,蝶,飛ぶ,23,0.023
踊り子,揺れる,NA,NA,149,0.149
踊り子,回る,蝶,空,74,0.074
踊り子,回る,蝶,舞う,306,0.306
踊り子,回る,蝶,女性,186,0.186
踊り子,回る,蝶,羽,113,0.113
踊り子,回る,蝶,美しさ,70,0.07
踊り子,回る,蝶,飛ぶ,33,0.033
踊り子,回る,蝶,花,41,0.041
踊り子,回る,蝶,儚さ,28,0.028
踊り子,回る,NA,NA,149,0.149
揺れる,回る,儚さ,空,28,0.028
揺れる,回る,羽,舞う,15,0.015
揺れる,回る,羽,女性,36,0.036
揺れる,回る,女性,舞う,62,0.062
揺れる,回る,美しさ,舞う,75,0.075
揺れる,回る,舞う,空,8,0.008
揺れる,回る,美しさ,羽,17,0.017
揺れる,回る,花,羽,10,0.01
揺れる,回る,儚さ,羽,47,0.047
揺れる,回る,羽,美しさ,32,0.032
揺れる,回る,儚さ,舞う,138,0.138
揺れる,回る,花,空,7,0.007
揺れる,回る,儚さ,女性,131,0.131
揺れる,回る,儚さ,飛ぶ,15,0.015
揺れる,回る,舞う,羽,13,0.013
揺れる,回る,女性,羽,24,0.024
揺れる,回る,儚さ,美しさ,18,0.018
揺れる,回る,舞う,飛ぶ,12,0.012
揺れる,回る,美しさ,空,17,0.017
揺れる,回る,女性,空,10,0.01
揺れる,回る,儚さ,花,13,0.013
揺れる,回る,羽,空,4,0.004
揺れる,回る,羽,花,6,0.006
揺れる,回る,空,花,7,0.007
揺れる,回る,舞う,儚さ,8,0.008
揺れる,回る,花,美しさ,4,0.004
揺れる,回る,美しさ,儚さ,4,0.004
揺れる,回る,花,飛ぶ,3,0.003
揺れる,回る,飛ぶ,舞う,3,0.003
揺れる,回る,空,舞う,3,0.003
揺れる,回る,舞う,美しさ,3,0.003
揺れる,回る,花,舞う,10,0.01
揺れる,回る,空,女性,10,0.01
揺れる,回る,舞う,女性,2,0.002
揺れる,回る,羽,儚さ,6,0.006
揺れる,回る,飛ぶ,女性,3,0.003
揺れる,回る,舞う,花,14,0.014
揺れる,回る,飛ぶ,羽,2,0.002
揺れる,回る,飛ぶ,美しさ,11,0.011
揺れる,回る,女性,儚さ,3,0.003
揺れる,回る,花,女性,2,0.002
揺れる,回る,花,儚さ,1,0.001
揺れる,回る,美しさ,飛ぶ,2,0.002
揺れる,回る,飛ぶ,儚さ,4,0.004
揺れる,回る,女性,美しさ,2,0.002
揺れる,回る,美しさ,女性,2,0.002
揺れる,回る,空,儚さ,2,0.002
揺れる,回る,女性,花,1,0.001
揺れる,回る,女性,飛ぶ,1,0.001
揺れる,回る,NA,NA,149,0.149
