B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,舞う,57,0.057
踊り子,揺れる,蝶,儚さ,417,0.417
踊り子,揺れる,蝶,羽,164,0.164
踊り子,揺れる,蝶,女性,115,0.115
踊り子,揺れる,蝶,花,20,0.02
踊り子,揺れる,蝶,美しさ,106,0.106
踊り子,揺れる,蝶,空,50,0.05
踊り子,揺れる,蝶,飛ぶ,16,0.016
踊り子,揺れる,NA,NA,55,0.055
踊り子,女性,蝶,花,157,0.157
踊り子,女性,蝶,女性,187,0.187
踊り子,女性,蝶,儚さ,90,0.09
踊り子,女性,蝶,羽,231,0.231
踊り子,女性,蝶,舞う,214,0.214
踊り子,女性,蝶,飛ぶ,39,0.039
踊り子,女性,蝶,空,12,0.012
踊り子,女性,蝶,美しさ,15,0.015
踊り子,女性,NA,NA,55,0.055
揺れる,女性,舞う,花,43,0.043
揺れる,女性,儚さ,女性,137,0.137
揺れる,女性,羽,儚さ,74,0.074
揺れる,女性,女性,羽,23,0.023
揺れる,女性,女性,舞う,70,0.07
揺れる,女性,儚さ,羽,170,0.17
揺れる,女性,羽,花,72,0.072
揺れる,女性,儚さ,舞う,93,0.093
揺れる,女性,舞う,儚さ,8,0.008
揺れる,女性,花,羽,7,0.007
揺れる,女性,美しさ,飛ぶ,16,0.016
揺れる,女性,空,女性,18,0.018
揺れる,女性,美しさ,舞う,47,0.047
揺れる,女性,空,花,32,0.032
揺れる,女性,儚さ,飛ぶ,17,0.017
揺れる,女性,舞う,女性,3,0.003
揺れる,女性,花,女性,5,0.005
揺れる,女性,美しさ,羽,30,0.03
揺れる,女性,舞う,飛ぶ,2,0.002
揺れる,女性,花,舞う,4,0.004
揺れる,女性,女性,空,9,0.009
揺れる,女性,飛ぶ,美しさ,14,0.014
揺れる,女性,花,飛ぶ,2,0.002
揺れる,女性,花,空,2,0.002
揺れる,女性,羽,女性,18,0.018
揺れる,女性,美しさ,女性,6,0.006
揺れる,女性,女性,花,5,0.005
揺れる,女性,飛ぶ,花,2,0.002
揺れる,女性,女性,儚さ,5,0.005
揺れる,女性,女性,美しさ,1,0.001
揺れる,女性,美しさ,花,3,0.003
揺れる,女性,美しさ,儚さ,3,0.003
揺れる,女性,女性,飛ぶ,2,0.002
揺れる,女性,舞う,羽,1,0.001
揺れる,女性,美しさ,空,1,0.001
揺れる,女性,NA,NA,55,0.055
