B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,美しさ,259,0.259
踊り子,舞台,蝶,舞う,362,0.362
踊り子,舞台,蝶,女性,113,0.113
踊り子,舞台,蝶,羽,126,0.126
踊り子,舞台,蝶,飛ぶ,48,0.048
踊り子,舞台,蝶,花,66,0.066
踊り子,舞台,蝶,空,14,0.014
踊り子,舞台,蝶,儚さ,4,0.004
踊り子,舞台,NA,NA,8,0.008
踊り子,踊り,蝶,舞う,328,0.328
踊り子,踊り,蝶,飛ぶ,178,0.178
踊り子,踊り,蝶,羽,353,0.353
踊り子,踊り,蝶,花,42,0.042
踊り子,踊り,蝶,女性,67,0.067
踊り子,踊り,蝶,美しさ,23,0.023
踊り子,踊り,蝶,儚さ,1,0.001
踊り子,踊り,NA,NA,8,0.008
踊り,舞台,舞う,美しさ,218,0.218
踊り,舞台,飛ぶ,舞う,48,0.048
踊り,舞台,舞う,女性,95,0.095
踊り,舞台,飛ぶ,羽,117,0.117
踊り,舞台,羽,舞う,306,0.306
踊り,舞台,花,美しさ,26,0.026
踊り,舞台,羽,飛ぶ,46,0.046
踊り,舞台,花,女性,12,0.012
踊り,舞台,女性,花,50,0.05
踊り,舞台,女性,美しさ,14,0.014
踊り,舞台,美しさ,舞う,2,0.002
踊り,舞台,美しさ,花,13,0.013
踊り,舞台,美しさ,女性,6,0.006
踊り,舞台,舞う,花,2,0.002
踊り,舞台,飛ぶ,空,12,0.012
踊り,舞台,舞う,羽,8,0.008
踊り,舞台,花,舞う,4,0.004
踊り,舞台,儚さ,花,1,0.001
踊り,舞台,女性,舞う,2,0.002
踊り,舞台,飛ぶ,儚さ,1,0.001
踊り,舞台,美しさ,羽,1,0.001
踊り,舞台,舞う,儚さ,1,0.001
踊り,舞台,羽,美しさ,1,0.001
踊り,舞台,舞う,空,2,0.002
踊り,舞台,美しさ,儚さ,1,0.001
踊り,舞台,舞う,飛ぶ,2,0.002
踊り,舞台,女性,儚さ,1,0.001
踊り,舞台,NA,NA,8,0.008
