B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,夜,蝶,空,582,0.582
踊り子,夜,蝶,女性,14,0.014
踊り子,夜,蝶,儚さ,323,0.323
踊り子,夜,蝶,美しさ,17,0.017
踊り子,夜,蝶,羽,10,0.01
踊り子,夜,蝶,花,11,0.011
踊り子,夜,蝶,舞う,12,0.012
踊り子,夜,蝶,飛ぶ,2,0.002
踊り子,夜,NA,NA,29,0.029
踊り子,音楽,蝶,花,150,0.15
踊り子,音楽,蝶,美しさ,457,0.457
踊り子,音楽,蝶,舞う,137,0.137
踊り子,音楽,蝶,女性,169,0.169
踊り子,音楽,蝶,空,14,0.014
踊り子,音楽,蝶,儚さ,26,0.026
踊り子,音楽,蝶,飛ぶ,5,0.005
踊り子,音楽,蝶,羽,13,0.013
踊り子,音楽,NA,NA,29,0.029
音楽,夜,花,空,138,0.138
音楽,夜,美しさ,空,409,0.409
音楽,夜,舞う,空,15,0.015
音楽,夜,美しさ,女性,2,0.002
音楽,夜,女性,儚さ,158,0.158
音楽,夜,舞う,儚さ,109,0.109
音楽,夜,空,儚さ,11,0.011
音楽,夜,美しさ,儚さ,36,0.036
音楽,夜,儚さ,女性,6,0.006
音楽,夜,飛ぶ,美しさ,3,0.003
音楽,夜,美しさ,羽,6,0.006
音楽,夜,花,儚さ,4,0.004
音楽,夜,舞う,花,9,0.009
音楽,夜,美しさ,舞う,3,0.003
音楽,夜,儚さ,空,16,0.016
音楽,夜,女性,空,4,0.004
音楽,夜,美しさ,花,1,0.001
音楽,夜,羽,儚さ,3,0.003
音楽,夜,羽,美しさ,3,0.003
音楽,夜,飛ぶ,儚さ,2,0.002
音楽,夜,舞う,美しさ,3,0.003
音楽,夜,羽,女性,6,0.006
音楽,夜,空,美しさ,3,0.003
音楽,夜,女性,舞う,5,0.005
音楽,夜,儚さ,美しさ,3,0.003
音楽,夜,花,飛ぶ,1,0.001
音楽,夜,花,羽,3,0.003
音楽,夜,儚さ,舞う,1,0.001
音楽,夜,女性,羽,1,0.001
音楽,夜,舞う,飛ぶ,1,0.001
音楽,夜,女性,美しさ,1,0.001
音楽,夜,花,舞う,3,0.003
音楽,夜,花,美しさ,1,0.001
音楽,夜,羽,花,1,0.001
音楽,夜,NA,NA,29,0.029
