B_dom,B_cod,A_dom,A_cod,count,probability
音楽,揺れる,美しさ,羽,152,0.152
音楽,揺れる,舞う,花,71,0.071
音楽,揺れる,美しさ,空,31,0.031
音楽,揺れる,空,舞う,5,0.005
音楽,揺れる,女性,舞う,53,0.053
音楽,揺れる,舞う,儚さ,112,0.112
音楽,揺れる,美しさ,舞う,23,0.023
音楽,揺れる,舞う,羽,9,0.009
音楽,揺れる,空,美しさ,10,0.01
音楽,揺れる,花,女性,11,0.011
音楽,揺れる,舞う,飛ぶ,5,0.005
音楽,揺れる,羽,女性,16,0.016
音楽,揺れる,女性,儚さ,202,0.202
音楽,揺れる,美しさ,儚さ,50,0.05
音楽,揺れる,舞う,女性,11,0.011
音楽,揺れる,花,羽,29,0.029
音楽,揺れる,舞う,美しさ,7,0.007
音楽,揺れる,花,儚さ,9,0.009
音楽,揺れる,美しさ,花,3,0.003
音楽,揺れる,女性,羽,19,0.019
音楽,揺れる,羽,美しさ,16,0.016
音楽,揺れる,空,儚さ,7,0.007
音楽,揺れる,儚さ,女性,16,0.016
音楽,揺れる,花,舞う,6,0.006
音楽,揺れる,空,女性,1,0.001
音楽,揺れる,女性,花,5,0.005
音楽,揺れる,羽,儚さ,2,0.002
音楽,揺れる,花,空,10,0.01
音楽,揺れる,空,花,1,0.001
音楽,揺れる,美しさ,女性,2,0.002
音楽,揺れる,飛ぶ,美しさ,14,0.014
音楽,揺れる,儚さ,美しさ,9,0.009
音楽,揺れる,花,美しさ,2,0.002
音楽,揺れる,儚さ,舞う,5,0.005
音楽,揺れる,花,飛ぶ,3,0.003
音楽,揺れる,舞う,空,2,0.002
音楽,揺れる,女性,美しさ,4,0.004
音楽,揺れる,儚さ,花,1,0.001
音楽,揺れる,飛ぶ,儚さ,4,0.004
音楽,揺れる,儚さ,空,2,0.002
音楽,揺れる,飛ぶ,花,1,0.001
音楽,揺れる,美しさ,飛ぶ,1,0.001
音楽,揺れる,NA,NA,58,0.058
踊り子,揺れる,蝶,羽,209,0.209
踊り子,揺れる,蝶,花,82,0.082
踊り子,揺れる,蝶,空,45,0.045
踊り子,揺れる,蝶,舞う,92,0.092
踊り子,揺れる,蝶,儚さ,386,0.386
踊り子,揺れる,蝶,美しさ,62,0.062
踊り子,揺れる,蝶,女性,57,0.057
踊り子,揺れる,蝶,飛ぶ,9,0.009
踊り子,揺れる,NA,NA,58,0.058
踊り子,音楽,蝶,美しさ,262,0.262
踊り子,音楽,蝶,舞う,217,0.217
踊り子,音楽,蝶,空,24,0.024
踊り子,音楽,蝶,女性,283,0.283
踊り子,音楽,蝶,花,70,0.07
踊り子,音楽,蝶,羽,34,0.034
踊り子,音楽,蝶,儚さ,33,0.033
踊り子,音楽,蝶,飛ぶ,19,0.019
踊り子,音楽,NA,NA,58,0.058
