B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,スカート,蝶,女性,859,0.859
踊り子,スカート,蝶,舞う,25,0.025
踊り子,スカート,蝶,花,8,0.008
踊り子,スカート,蝶,美しさ,97,0.097
踊り子,スカート,蝶,羽,6,0.006
踊り子,スカート,蝶,空,1,0.001
踊り子,スカート,NA,NA,4,0.004
踊り子,女性,蝶,美しさ,820,0.82
踊り子,女性,蝶,女性,112,0.112
踊り子,女性,蝶,花,53,0.053
踊り子,女性,蝶,舞う,3,0.003
踊り子,女性,蝶,飛ぶ,2,0.002
踊り子,女性,蝶,儚さ,5,0.005
踊り子,女性,蝶,羽,1,0.001
踊り子,女性,NA,NA,4,0.004
スカート,女性,女性,美しさ,800,0.8
スカート,女性,舞う,女性,14,0.014
スカート,女性,女性,花,53,0.053
スカート,女性,舞う,美しさ,11,0.011
スカート,女性,花,美しさ,7,0.007
スカート,女性,美しさ,女性,97,0.097
スカート,女性,羽,舞う,3,0.003
スカート,女性,羽,美しさ,1,0.001
スカート,女性,羽,飛ぶ,2,0.002
スカート,女性,女性,儚さ,5,0.005
スカート,女性,空,美しさ,1,0.001
スカート,女性,花,女性,1,0.001
スカート,女性,女性,羽,1,0.001
スカート,女性,NA,NA,4,0.004
