B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,スカート,蝶,儚さ,31,0.031
踊り子,スカート,蝶,美しさ,328,0.328
踊り子,スカート,蝶,女性,432,0.432
踊り子,スカート,蝶,舞う,100,0.1
踊り子,スカート,蝶,花,20,0.02
踊り子,スカート,蝶,空,30,0.03
踊り子,スカート,蝶,羽,6,0.006
踊り子,スカート,蝶,飛ぶ,3,0.003
踊り子,スカート,NA,NA,50,0.05
踊り子,揺れる,蝶,美しさ,176,0.176
踊り子,揺れる,蝶,儚さ,434,0.434
踊り子,揺れる,蝶,女性,99,0.099
踊り子,揺れる,蝶,飛ぶ,10,0.01
踊り子,揺れる,蝶,花,78,0.078
踊り子,揺れる,蝶,羽,78,0.078
踊り子,揺れる,蝶,空,39,0.039
踊り子,揺れる,蝶,舞う,36,0.036
踊り子,揺れる,NA,NA,50,0.05
スカート,揺れる,儚さ,美しさ,23,0.023
スカート,揺れる,美しさ,儚さ,225,0.225
スカート,揺れる,女性,美しさ,127,0.127
スカート,揺れる,美しさ,女性,65,0.065
スカート,揺れる,女性,儚さ,200,0.2
スカート,揺れる,舞う,飛ぶ,8,0.008
スカート,揺れる,女性,花,74,0.074
スカート,揺れる,舞う,女性,21,0.021
スカート,揺れる,舞う,羽,42,0.042
スカート,揺れる,舞う,空,23,0.023
スカート,揺れる,女性,羽,10,0.01
スカート,揺れる,美しさ,羽,25,0.025
スカート,揺れる,舞う,儚さ,5,0.005
スカート,揺れる,花,舞う,10,0.01
スカート,揺れる,女性,舞う,20,0.02
スカート,揺れる,花,女性,3,0.003
スカート,揺れる,花,空,2,0.002
スカート,揺れる,美しさ,空,10,0.01
スカート,揺れる,空,飛ぶ,2,0.002
スカート,揺れる,空,舞う,4,0.004
スカート,揺れる,花,儚さ,4,0.004
スカート,揺れる,女性,空,1,0.001
スカート,揺れる,羽,花,1,0.001
スカート,揺れる,空,美しさ,24,0.024
スカート,揺れる,儚さ,女性,8,0.008
スカート,揺れる,羽,空,2,0.002
スカート,揺れる,花,羽,1,0.001
スカート,揺れる,飛ぶ,空,1,0.001
スカート,揺れる,舞う,美しさ,1,0.001
スカート,揺れる,美しさ,花,3,0.003
スカート,揺れる,羽,女性,2,0.002
スカート,揺れる,羽,美しさ,1,0.001
スカート,揺れる,飛ぶ,舞う,2,0.002
スカート,揺れる,NA,NA,50,0.05
