B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,夜,蝶,儚さ,683,0.683
踊り子,夜,蝶,美しさ,113,0.113
踊り子,夜,蝶,空,95,0.095
踊り子,夜,蝶,飛ぶ,3,0.003
踊り子,夜,蝶,女性,67,0.067
踊り子,夜,蝶,花,11,0.011
踊り子,夜,蝶,羽,2,0.002
踊り子,夜,蝶,舞う,11,0.011
踊り子,夜,NA,NA,15,0.015
踊り子,踊り,蝶,舞う,759,0.759
踊り子,踊り,蝶,花,32,0.032
踊り子,踊り,蝶,羽,108,0.108
踊り子,踊り,蝶,儚さ,12,0.012
踊り子,踊り,蝶,美しさ,7,0.007
踊り子,踊り,蝶,飛ぶ,33,0.033
踊り子,踊り,蝶,女性,34,0.034
踊り子,踊り,NA,NA,15,0.015
夜,踊り,儚さ,舞う,545,0.545
夜,踊り,美しさ,舞う,101,0.101
夜,踊り,空,花,27,0.027
夜,踊り,儚さ,羽,90,0.09
夜,踊り,美しさ,羽,6,0.006
夜,踊り,空,舞う,48,0.048
夜,踊り,空,儚さ,10,0.01
夜,踊り,飛ぶ,美しさ,2,0.002
夜,踊り,女性,舞う,64,0.064
夜,踊り,儚さ,飛ぶ,19,0.019
夜,踊り,儚さ,美しさ,2,0.002
夜,踊り,花,羽,7,0.007
夜,踊り,羽,女性,2,0.002
夜,踊り,舞う,羽,2,0.002
夜,踊り,花,飛ぶ,3,0.003
夜,踊り,儚さ,女性,26,0.026
夜,踊り,舞う,飛ぶ,6,0.006
夜,踊り,美しさ,儚さ,2,0.002
夜,踊り,空,女性,6,0.006
夜,踊り,女性,羽,3,0.003
夜,踊り,舞う,花,3,0.003
夜,踊り,空,美しさ,3,0.003
夜,踊り,儚さ,花,1,0.001
夜,踊り,美しさ,飛ぶ,4,0.004
夜,踊り,空,飛ぶ,1,0.001
夜,踊り,花,舞う,1,0.001
夜,踊り,飛ぶ,花,1,0.001
夜,踊り,NA,NA,15,0.015
