B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,夜,蝶,空,524,0.524
踊り子,夜,蝶,儚さ,395,0.395
踊り子,夜,蝶,女性,11,0.011
踊り子,夜,蝶,美しさ,24,0.024
踊り子,夜,蝶,羽,4,0.004
踊り子,夜,蝶,花,5,0.005
踊り子,夜,蝶,飛ぶ,3,0.003
踊り子,夜,蝶,舞う,22,0.022
踊り子,夜,NA,NA,12,0.012
踊り子,女性,蝶,女性,612,0.612
踊り子,女性,蝶,羽,300,0.3
踊り子,女性,蝶,舞う,38,0.038
踊り子,女性,蝶,飛ぶ,12,0.012
踊り子,女性,蝶,花,2,0.002
踊り子,女性,蝶,儚さ,8,0.008
踊り子,女性,蝶,空,15,0.015
踊り子,女性,蝶,美しさ,1,0.001
踊り子,女性,NA,NA,12,0.012
女性,夜,女性,空,524,0.524
女性,夜,羽,儚さ,278,0.278
女性,夜,羽,女性,9,0.009
女性,夜,舞う,儚さ,36,0.036
女性,夜,飛ぶ,美しさ,3,0.003
女性,夜,女性,儚さ,58,0.058
女性,夜,女性,羽,4,0.004
女性,夜,羽,花,3,0.003
女性,夜,花,飛ぶ,2,0.002
女性,夜,羽,美しさ,10,0.01
女性,夜,飛ぶ,儚さ,9,0.009
女性,夜,儚さ,女性,2,0.002
女性,夜,女性,舞う,22,0.022
女性,夜,儚さ,美しさ,6,0.006
女性,夜,空,儚さ,14,0.014
女性,夜,美しさ,飛ぶ,1,0.001
女性,夜,女性,美しさ,4,0.004
女性,夜,舞う,美しさ,1,0.001
女性,夜,舞う,花,1,0.001
女性,夜,空,花,1,0.001
女性,夜,NA,NA,12,0.012
