B_dom,B_cod,A_dom,A_cod,count,probability
女性,揺れる,儚さ,女性,15,0.015
女性,揺れる,羽,花,60,0.06
女性,揺れる,舞う,儚さ,108,0.108
女性,揺れる,女性,羽,94,0.094
女性,揺れる,羽,儚さ,154,0.154
女性,揺れる,女性,美しさ,6,0.006
女性,揺れる,舞う,女性,4,0.004
女性,揺れる,女性,空,49,0.049
女性,揺れる,羽,美しさ,13,0.013
女性,揺れる,飛ぶ,儚さ,12,0.012
女性,揺れる,女性,儚さ,90,0.09
女性,揺れる,女性,舞う,141,0.141
女性,揺れる,花,女性,7,0.007
女性,揺れる,美しさ,飛ぶ,48,0.048
女性,揺れる,飛ぶ,美しさ,6,0.006
女性,揺れる,空,儚さ,16,0.016
女性,揺れる,飛ぶ,女性,14,0.014
女性,揺れる,舞う,花,8,0.008
女性,揺れる,空,女性,43,0.043
女性,揺れる,女性,飛ぶ,13,0.013
女性,揺れる,羽,女性,21,0.021
女性,揺れる,飛ぶ,花,5,0.005
女性,揺れる,女性,花,6,0.006
女性,揺れる,舞う,美しさ,1,0.001
女性,揺れる,儚さ,美しさ,9,0.009
女性,揺れる,空,美しさ,2,0.002
女性,揺れる,美しさ,女性,1,0.001
女性,揺れる,空,花,1,0.001
女性,揺れる,NA,NA,53,0.053
踊り子,揺れる,蝶,女性,105,0.105
踊り子,揺れる,蝶,花,80,0.08
踊り子,揺れる,蝶,儚さ,380,0.38
踊り子,揺れる,蝶,羽,94,0.094
踊り子,揺れる,蝶,美しさ,37,0.037
踊り子,揺れる,蝶,空,49,0.049
踊り子,揺れる,蝶,舞う,141,0.141
踊り子,揺れる,蝶,飛ぶ,61,0.061
踊り子,揺れる,NA,NA,53,0.053
踊り子,女性,蝶,儚さ,24,0.024
踊り子,女性,蝶,羽,248,0.248
踊り子,女性,蝶,舞う,121,0.121
踊り子,女性,蝶,女性,399,0.399
踊り子,女性,蝶,飛ぶ,37,0.037
踊り子,女性,蝶,花,7,0.007
踊り子,女性,蝶,美しさ,49,0.049
踊り子,女性,蝶,空,62,0.062
踊り子,女性,NA,NA,53,0.053
