B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,花,89,0.089
踊り子,揺れる,蝶,儚さ,408,0.408
踊り子,揺れる,蝶,舞う,137,0.137
踊り子,揺れる,蝶,美しさ,122,0.122
踊り子,揺れる,蝶,女性,71,0.071
踊り子,揺れる,蝶,羽,70,0.07
踊り子,揺れる,蝶,空,44,0.044
踊り子,揺れる,蝶,飛ぶ,15,0.015
踊り子,揺れる,NA,NA,44,0.044
踊り子,踊り,蝶,舞う,434,0.434
踊り子,踊り,蝶,飛ぶ,24,0.024
踊り子,踊り,蝶,羽,181,0.181
踊り子,踊り,蝶,花,179,0.179
踊り子,踊り,蝶,女性,58,0.058
踊り子,踊り,蝶,美しさ,66,0.066
踊り子,踊り,蝶,儚さ,13,0.013
踊り子,踊り,蝶,空,1,0.001
踊り子,踊り,NA,NA,44,0.044
揺れる,踊り,花,舞う,83,0.083
揺れる,踊り,儚さ,舞う,221,0.221
揺れる,踊り,舞う,飛ぶ,18,0.018
揺れる,踊り,美しさ,舞う,26,0.026
揺れる,踊り,美しさ,羽,63,0.063
揺れる,踊り,儚さ,花,130,0.13
揺れる,踊り,女性,舞う,41,0.041
揺れる,踊り,舞う,羽,108,0.108
揺れる,踊り,儚さ,女性,46,0.046
揺れる,踊り,舞う,花,7,0.007
揺れる,踊り,羽,舞う,11,0.011
揺れる,踊り,羽,美しさ,56,0.056
揺れる,踊り,美しさ,儚さ,8,0.008
揺れる,踊り,空,舞う,39,0.039
揺れる,踊り,美しさ,花,19,0.019
揺れる,踊り,美しさ,女性,4,0.004
揺れる,踊り,花,女性,2,0.002
揺れる,踊り,舞う,女性,4,0.004
揺れる,踊り,女性,花,23,0.023
揺れる,踊り,儚さ,美しさ,8,0.008
揺れる,踊り,女性,羽,3,0.003
揺れる,踊り,女性,儚さ,4,0.004
揺れる,踊り,飛ぶ,舞う,13,0.013
揺れる,踊り,儚さ,飛ぶ,2,0.002
揺れる,踊り,空,羽,2,0.002
揺れる,踊り,美しさ,飛ぶ,2,0.002
揺れる,踊り,空,飛ぶ,2,0.002
揺れる,踊り,飛ぶ,美しさ,1,0.001
揺れる,踊り,羽,女性,2,0.002
揺れる,踊り,羽,空,1,0.001
揺れる,踊り,花,羽,4,0.004
揺れる,踊り,飛ぶ,儚さ,1,0.001
揺れる,踊り,空,美しさ,1,0.001
揺れる,踊り,儚さ,羽,1,0.001
揺れる,踊り,NA,NA,44,0.044
