B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,スカート,蝶,空,10,0.01
踊り子,スカート,蝶,女性,876,0.876
踊り子,スカート,蝶,舞う,27,0.027
踊り子,スカート,蝶,美しさ,64,0.064
踊り子,スカート,蝶,飛ぶ,2,0.002
踊り子,スカート,蝶,羽,7,0.007
踊り子,スカート,蝶,花,3,0.003
踊り子,スカート,蝶,儚さ,3,0.003
踊り子,スカート,NA,NA,8,0.008
踊り子,舞台,蝶,舞う,710,0.71
踊り子,舞台,蝶,飛ぶ,28,0.028
踊り子,舞台,蝶,花,153,0.153
踊り子,舞台,蝶,羽,41,0.041
踊り子,舞台,蝶,美しさ,28,0.028
踊り子,舞台,蝶,空,16,0.016
踊り子,舞台,蝶,儚さ,9,0.009
踊り子,舞台,蝶,女性,7,0.007
踊り子,舞台,NA,NA,8,0.008
舞台,スカート,舞う,空,7,0.007
舞台,スカート,舞う,女性,681,0.681
舞台,スカート,飛ぶ,舞う,21,0.021
舞台,スカート,花,女性,149,0.149
舞台,スカート,羽,美しさ,28,0.028
舞台,スカート,美しさ,女性,28,0.028
舞台,スカート,空,飛ぶ,2,0.002
舞台,スカート,空,舞う,1,0.001
舞台,スカート,儚さ,美しさ,3,0.003
舞台,スカート,舞う,美しさ,13,0.013
舞台,スカート,舞う,羽,7,0.007
舞台,スカート,空,美しさ,13,0.013
舞台,スカート,女性,舞う,3,0.003
舞台,スカート,飛ぶ,空,1,0.001
舞台,スカート,羽,女性,11,0.011
舞台,スカート,舞う,花,2,0.002
舞台,スカート,儚さ,女性,6,0.006
舞台,スカート,女性,美しさ,2,0.002
舞台,スカート,花,儚さ,2,0.002
舞台,スカート,飛ぶ,女性,1,0.001
舞台,スカート,飛ぶ,美しさ,5,0.005
舞台,スカート,花,舞う,2,0.002
舞台,スカート,女性,花,1,0.001
舞台,スカート,羽,空,2,0.002
舞台,スカート,女性,儚さ,1,0.001
舞台,スカート,NA,NA,8,0.008
