B_dom,B_cod,A_dom,A_cod,count,probability
舞台,夜,舞う,儚さ,509,0.509
舞台,夜,花,空,203,0.203
舞台,夜,美しさ,空,58,0.058
舞台,夜,女性,儚さ,17,0.017
舞台,夜,空,美しさ,2,0.002
舞台,夜,飛ぶ,儚さ,39,0.039
舞台,夜,花,羽,4,0.004
舞台,夜,羽,美しさ,13,0.013
舞台,夜,舞う,飛ぶ,5,0.005
舞台,夜,羽,儚さ,17,0.017
舞台,夜,舞う,花,8,0.008
舞台,夜,儚さ,空,2,0.002
舞台,夜,飛ぶ,美しさ,37,0.037
舞台,夜,空,儚さ,13,0.013
舞台,夜,女性,舞う,3,0.003
舞台,夜,舞う,空,17,0.017
舞台,夜,羽,女性,19,0.019
舞台,夜,女性,空,1,0.001
舞台,夜,飛ぶ,花,1,0.001
舞台,夜,美しさ,儚さ,3,0.003
舞台,夜,舞う,美しさ,5,0.005
舞台,夜,舞う,女性,5,0.005
舞台,夜,空,女性,1,0.001
舞台,夜,花,飛ぶ,1,0.001
舞台,夜,美しさ,女性,1,0.001
舞台,夜,花,儚さ,2,0.002
舞台,夜,女性,美しさ,1,0.001
舞台,夜,花,美しさ,1,0.001
舞台,夜,美しさ,舞う,1,0.001
舞台,夜,羽,花,1,0.001
舞台,夜,羽,空,1,0.001
舞台,夜,NA,NA,9,0.009
踊り子,舞台,蝶,舞う,549,0.549
踊り子,舞台,蝶,花,211,0.211
踊り子,舞台,蝶,美しさ,63,0.063
踊り子,舞台,蝶,女性,22,0.022
踊り子,舞台,蝶,空,16,0.016
踊り子,舞台,蝶,飛ぶ,77,0.077
踊り子,舞台,蝶,羽,51,0.051
踊り子,舞台,蝶,儚さ,2,0.002
踊り子,舞台,NA,NA,9,0.009
踊り子,夜,蝶,儚さ,600,0.6
踊り子,夜,蝶,空,282,0.282
踊り子,夜,蝶,美しさ,59,0.059
踊り子,夜,蝶,羽,4,0.004
踊り子,夜,蝶,飛ぶ,6,0.006
踊り子,夜,蝶,花,10,0.01
踊り子,夜,蝶,舞う,4,0.004
踊り子,夜,蝶,女性,26,0.026
踊り子,夜,NA,NA,9,0.009
