B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,舞う,568,0.568
踊り子,舞台,蝶,空,34,0.034
踊り子,舞台,蝶,花,198,0.198
踊り子,舞台,蝶,女性,25,0.025
踊り子,舞台,蝶,飛ぶ,128,0.128
踊り子,舞台,蝶,羽,31,0.031
踊り子,舞台,蝶,美しさ,12,0.012
踊り子,舞台,蝶,儚さ,1,0.001
踊り子,舞台,NA,NA,3,0.003
踊り子,女性,蝶,羽,261,0.261
踊り子,女性,蝶,美しさ,62,0.062
踊り子,女性,蝶,女性,425,0.425
踊り子,女性,蝶,舞う,216,0.216
踊り子,女性,蝶,花,31,0.031
踊り子,女性,蝶,儚さ,2,0.002
踊り子,女性,NA,NA,3,0.003
舞台,女性,舞う,羽,259,0.259
舞台,女性,空,美しさ,34,0.034
舞台,女性,舞う,女性,309,0.309
舞台,女性,花,女性,105,0.105
舞台,女性,花,舞う,93,0.093
舞台,女性,女性,花,23,0.023
舞台,女性,飛ぶ,舞う,123,0.123
舞台,女性,羽,女性,6,0.006
舞台,女性,美しさ,女性,5,0.005
舞台,女性,羽,美しさ,25,0.025
舞台,女性,飛ぶ,美しさ,3,0.003
舞台,女性,美しさ,花,7,0.007
舞台,女性,飛ぶ,羽,2,0.002
舞台,女性,女性,儚さ,2,0.002
舞台,女性,儚さ,花,1,0.001
舞台,女性,NA,NA,3,0.003
