B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,飛ぶ,180,0.18
踊り子,舞台,蝶,花,139,0.139
踊り子,舞台,蝶,羽,213,0.213
踊り子,舞台,蝶,女性,87,0.087
踊り子,舞台,蝶,舞う,252,0.252
踊り子,舞台,蝶,空,44,0.044
踊り子,舞台,蝶,儚さ,5,0.005
踊り子,舞台,蝶,美しさ,25,0.025
踊り子,舞台,NA,NA,55,0.055
踊り子,揺れる,蝶,儚さ,427,0.427
踊り子,揺れる,蝶,女性,73,0.073
踊り子,揺れる,蝶,羽,132,0.132
踊り子,揺れる,蝶,舞う,64,0.064
踊り子,揺れる,蝶,花,89,0.089
踊り子,揺れる,蝶,飛ぶ,32,0.032
踊り子,揺れる,蝶,空,25,0.025
踊り子,揺れる,蝶,美しさ,103,0.103
踊り子,揺れる,NA,NA,55,0.055
舞台,揺れる,飛ぶ,儚さ,98,0.098
舞台,揺れる,花,女性,2,0.002
舞台,揺れる,花,羽,94,0.094
舞台,揺れる,羽,儚さ,118,0.118
舞台,揺れる,女性,舞う,41,0.041
舞台,揺れる,舞う,儚さ,165,0.165
舞台,揺れる,女性,羽,26,0.026
舞台,揺れる,空,儚さ,23,0.023
舞台,揺れる,花,舞う,5,0.005
舞台,揺れる,舞う,花,53,0.053
舞台,揺れる,花,飛ぶ,21,0.021
舞台,揺れる,羽,女性,40,0.04
舞台,揺れる,羽,花,29,0.029
舞台,揺れる,舞う,飛ぶ,10,0.01
舞台,揺れる,舞う,羽,8,0.008
舞台,揺れる,儚さ,羽,4,0.004
舞台,揺れる,女性,儚さ,14,0.014
舞台,揺れる,空,女性,15,0.015
舞台,揺れる,美しさ,空,3,0.003
舞台,揺れる,飛ぶ,美しさ,68,0.068
舞台,揺れる,女性,空,5,0.005
舞台,揺れる,空,舞う,1,0.001
舞台,揺れる,舞う,女性,5,0.005
舞台,揺れる,美しさ,舞う,14,0.014
舞台,揺れる,羽,美しさ,25,0.025
舞台,揺れる,花,空,15,0.015
舞台,揺れる,舞う,美しさ,9,0.009
舞台,揺れる,飛ぶ,女性,11,0.011
舞台,揺れる,飛ぶ,舞う,1,0.001
舞台,揺れる,美しさ,儚さ,7,0.007
舞台,揺れる,儚さ,舞う,1,0.001
舞台,揺れる,美しさ,飛ぶ,1,0.001
舞台,揺れる,空,花,4,0.004
舞台,揺れる,花,儚さ,2,0.002
舞台,揺れる,舞う,空,2,0.002
舞台,揺れる,飛ぶ,花,2,0.002
舞台,揺れる,空,美しさ,1,0.001
舞台,揺れる,羽,舞う,1,0.001
舞台,揺れる,女性,花,1,0.001
舞台,揺れる,NA,NA,55,0.055
