B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,花,134,0.134
踊り子,舞台,蝶,舞う,610,0.61
踊り子,舞台,蝶,飛ぶ,32,0.032
踊り子,舞台,蝶,女性,99,0.099
踊り子,舞台,蝶,羽,58,0.058
踊り子,舞台,蝶,儚さ,10,0.01
踊り子,舞台,蝶,美しさ,32,0.032
踊り子,舞台,蝶,空,7,0.007
踊り子,舞台,NA,NA,18,0.018
踊り子,音楽,蝶,女性,450,0.45
踊り子,音楽,蝶,美しさ,251,0.251
踊り子,音楽,蝶,舞う,96,0.096
踊り子,音楽,蝶,花,104,0.104
踊り子,音楽,蝶,儚さ,56,0.056
踊り子,音楽,蝶,羽,15,0.015
踊り子,音楽,蝶,空,7,0.007
踊り子,音楽,蝶,飛ぶ,3,0.003
踊り子,音楽,NA,NA,18,0.018
舞台,音楽,花,女性,71,0.071
舞台,音楽,舞う,美しさ,225,0.225
舞台,音楽,飛ぶ,舞う,23,0.023
舞台,音楽,舞う,女性,366,0.366
舞台,音楽,女性,花,79,0.079
舞台,音楽,羽,舞う,54,0.054
舞台,音楽,儚さ,美しさ,5,0.005
舞台,音楽,花,儚さ,48,0.048
舞台,音楽,美しさ,花,19,0.019
舞台,音楽,美しさ,女性,10,0.01
舞台,音楽,花,舞う,9,0.009
舞台,音楽,空,舞う,3,0.003
舞台,音楽,舞う,羽,7,0.007
舞台,音楽,飛ぶ,空,1,0.001
舞台,音楽,舞う,儚さ,4,0.004
舞台,音楽,女性,美しさ,12,0.012
舞台,音楽,美しさ,儚さ,2,0.002
舞台,音楽,花,美しさ,6,0.006
舞台,音楽,空,美しさ,2,0.002
舞台,音楽,飛ぶ,羽,7,0.007
舞台,音楽,女性,舞う,6,0.006
舞台,音楽,儚さ,花,4,0.004
舞台,音楽,羽,空,1,0.001
舞台,音楽,女性,儚さ,2,0.002
舞台,音楽,空,羽,1,0.001
舞台,音楽,美しさ,空,1,0.001
舞台,音楽,舞う,花,2,0.002
舞台,音楽,空,女性,1,0.001
舞台,音楽,舞う,空,4,0.004
舞台,音楽,舞う,飛ぶ,2,0.002
舞台,音楽,羽,美しさ,1,0.001
舞台,音楽,羽,飛ぶ,1,0.001
舞台,音楽,羽,女性,1,0.001
舞台,音楽,儚さ,舞う,1,0.001
舞台,音楽,飛ぶ,女性,1,0.001
舞台,音楽,NA,NA,18,0.018
