B_dom,B_cod,A_dom,A_cod,count,probability
踊り,音楽,花,美しさ,193,0.193
踊り,音楽,舞う,美しさ,233,0.233
踊り,音楽,舞う,女性,104,0.104
踊り,音楽,女性,花,42,0.042
踊り,音楽,羽,飛ぶ,24,0.024
踊り,音楽,飛ぶ,空,82,0.082
踊り,音楽,女性,美しさ,37,0.037
踊り,音楽,舞う,羽,3,0.003
踊り,音楽,飛ぶ,羽,25,0.025
踊り,音楽,羽,舞う,123,0.123
踊り,音楽,飛ぶ,舞う,20,0.02
踊り,音楽,美しさ,女性,18,0.018
踊り,音楽,花,女性,9,0.009
踊り,音楽,舞う,飛ぶ,4,0.004
踊り,音楽,美しさ,花,14,0.014
踊り,音楽,花,儚さ,9,0.009
踊り,音楽,女性,舞う,6,0.006
踊り,音楽,飛ぶ,美しさ,1,0.001
踊り,音楽,花,舞う,3,0.003
踊り,音楽,舞う,儚さ,4,0.004
踊り,音楽,羽,女性,2,0.002
踊り,音楽,美しさ,羽,1,0.001
踊り,音楽,美しさ,儚さ,7,0.007
踊り,音楽,舞う,空,2,0.002
踊り,音楽,羽,空,5,0.005
踊り,音楽,花,飛ぶ,1,0.001
踊り,音楽,美しさ,舞う,1,0.001
踊り,音楽,空,羽,1,0.001
踊り,音楽,儚さ,美しさ,3,0.003
踊り,音楽,花,空,1,0.001
踊り,音楽,空,花,1,0.001
踊り,音楽,NA,NA,21,0.021
踊り子,踊り,蝶,花,216,0.216
踊り子,踊り,蝶,舞う,350,0.35
踊り子,踊り,蝶,女性,85,0.085
踊り子,踊り,蝶,羽,154,0.154
踊り子,踊り,蝶,飛ぶ,128,0.128
踊り子,踊り,蝶,美しさ,41,0.041
踊り子,踊り,蝶,空,2,0.002
踊り子,踊り,蝶,儚さ,3,0.003
踊り子,踊り,NA,NA,21,0.021
踊り子,音楽,蝶,美しさ,467,0.467
踊り子,音楽,蝶,女性,133,0.133
踊り子,音楽,蝶,花,57,0.057
踊り子,音楽,蝶,飛ぶ,29,0.029
踊り子,音楽,蝶,空,90,0.09
踊り子,音楽,蝶,羽,30,0.03
踊り子,音楽,蝶,舞う,153,0.153
踊り子,音楽,蝶,儚さ,20,0.02
踊り子,音楽,NA,NA,21,0.021
