B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,回る,蝶,羽,188,0.188
踊り子,回る,蝶,飛ぶ,84,0.084
踊り子,回る,蝶,美しさ,93,0.093
踊り子,回る,蝶,女性,217,0.217
踊り子,回る,蝶,空,86,0.086
踊り子,回る,蝶,儚さ,25,0.025
踊り子,回る,蝶,舞う,119,0.119
踊り子,回る,蝶,花,43,0.043
踊り子,回る,NA,NA,145,0.145
踊り子,夜,蝶,美しさ,40,0.04
踊り子,夜,蝶,儚さ,374,0.374
踊り子,夜,蝶,空,329,0.329
踊り子,夜,蝶,花,22,0.022
踊り子,夜,蝶,女性,59,0.059
踊り子,夜,蝶,飛ぶ,21,0.021
踊り子,夜,蝶,舞う,8,0.008
踊り子,夜,蝶,羽,2,0.002
踊り子,夜,NA,NA,145,0.145
回る,夜,羽,美しさ,11,0.011
回る,夜,羽,儚さ,164,0.164
回る,夜,飛ぶ,儚さ,60,0.06
回る,夜,美しさ,空,67,0.067
回る,夜,女性,空,178,0.178
回る,夜,空,花,3,0.003
回る,夜,儚さ,空,17,0.017
回る,夜,飛ぶ,女性,6,0.006
回る,夜,美しさ,飛ぶ,18,0.018
回る,夜,舞う,空,27,0.027
回る,夜,舞う,儚さ,79,0.079
回る,夜,美しさ,儚さ,6,0.006
回る,夜,空,女性,39,0.039
回る,夜,花,空,38,0.038
回る,夜,女性,儚さ,31,0.031
回る,夜,花,儚さ,2,0.002
回る,夜,空,美しさ,9,0.009
回る,夜,儚さ,美しさ,2,0.002
回る,夜,羽,花,7,0.007
回る,夜,舞う,花,4,0.004
回る,夜,飛ぶ,美しさ,9,0.009
回る,夜,空,儚さ,32,0.032
回る,夜,女性,飛ぶ,1,0.001
回る,夜,舞う,女性,3,0.003
回る,夜,舞う,美しさ,5,0.005
回る,夜,女性,舞う,4,0.004
回る,夜,飛ぶ,花,7,0.007
回る,夜,女性,美しさ,3,0.003
回る,夜,飛ぶ,空,2,0.002
回る,夜,美しさ,女性,1,0.001
回る,夜,羽,女性,6,0.006
回る,夜,儚さ,女性,3,0.003
回る,夜,儚さ,花,1,0.001
回る,夜,花,美しさ,1,0.001
回る,夜,空,舞う,3,0.003
回る,夜,花,女性,1,0.001
回る,夜,儚さ,飛ぶ,1,0.001
回る,夜,儚さ,羽,1,0.001
回る,夜,美しさ,舞う,1,0.001
回る,夜,舞う,飛ぶ,1,0.001
回る,夜,花,羽,1,0.001
回る,夜,NA,NA,145,0.145
