B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,女性,81,0.081
踊り子,揺れる,蝶,美しさ,140,0.14
踊り子,揺れる,蝶,儚さ,375,0.375
踊り子,揺れる,蝶,羽,120,0.12
踊り子,揺れる,蝶,空,37,0.037
踊り子,揺れる,蝶,舞う,46,0.046
踊り子,揺れる,蝶,花,21,0.021
踊り子,揺れる,蝶,飛ぶ,13,0.013
踊り子,揺れる,NA,NA,167,0.167
踊り子,回る,蝶,羽,69,0.069
踊り子,回る,蝶,美しさ,148,0.148
踊り子,回る,蝶,舞う,211,0.211
踊り子,回る,蝶,女性,142,0.142
踊り子,回る,蝶,花,68,0.068
踊り子,回る,蝶,空,123,0.123
踊り子,回る,蝶,儚さ,42,0.042
踊り子,回る,蝶,飛ぶ,30,0.03
踊り子,回る,NA,NA,167,0.167
回る,揺れる,羽,女性,12,0.012
回る,揺れる,羽,美しさ,40,0.04
回る,揺れる,美しさ,儚さ,101,0.101
回る,揺れる,舞う,羽,80,0.08
回る,揺れる,女性,儚さ,98,0.098
回る,揺れる,花,羽,4,0.004
回る,揺れる,舞う,儚さ,70,0.07
回る,揺れる,空,美しさ,56,0.056
回る,揺れる,儚さ,女性,21,0.021
回る,揺れる,舞う,空,22,0.022
回る,揺れる,女性,舞う,7,0.007
回る,揺れる,花,儚さ,40,0.04
回る,揺れる,儚さ,空,5,0.005
回る,揺れる,飛ぶ,美しさ,8,0.008
回る,揺れる,羽,花,3,0.003
回る,揺れる,美しさ,女性,17,0.017
回る,揺れる,舞う,美しさ,4,0.004
回る,揺れる,花,舞う,18,0.018
回る,揺れる,舞う,女性,22,0.022
回る,揺れる,美しさ,羽,18,0.018
回る,揺れる,空,儚さ,48,0.048
回る,揺れる,舞う,飛ぶ,9,0.009
回る,揺れる,儚さ,羽,2,0.002
回る,揺れる,飛ぶ,儚さ,14,0.014
回る,揺れる,美しさ,花,5,0.005
回る,揺れる,女性,羽,7,0.007
回る,揺れる,舞う,花,4,0.004
回る,揺れる,女性,美しさ,23,0.023
回る,揺れる,空,羽,4,0.004
回る,揺れる,儚さ,美しさ,9,0.009
回る,揺れる,女性,花,7,0.007
回る,揺れる,空,花,1,0.001
回る,揺れる,羽,舞う,4,0.004
回る,揺れる,美しさ,空,3,0.003
回る,揺れる,花,女性,3,0.003
回る,揺れる,羽,儚さ,4,0.004
回る,揺れる,花,空,1,0.001
回る,揺れる,美しさ,舞う,4,0.004
回る,揺れる,羽,空,6,0.006
回る,揺れる,空,舞う,9,0.009
回る,揺れる,飛ぶ,女性,3,0.003
回る,揺れる,儚さ,舞う,4,0.004
回る,揺れる,空,女性,3,0.003
回る,揺れる,飛ぶ,羽,5,0.005
回る,揺れる,花,飛ぶ,2,0.002
回る,揺れる,空,飛ぶ,2,0.002
回る,揺れる,儚さ,花,1,0.001
回る,揺れる,NA,NA,167,0.167
