B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,回る,蝶,舞う,159,0.159
踊り子,回る,蝶,美しさ,125,0.125
踊り子,回る,蝶,儚さ,40,0.04
踊り子,回る,蝶,飛ぶ,92,0.092
踊り子,回る,蝶,羽,55,0.055
踊り子,回る,蝶,空,103,0.103
踊り子,回る,蝶,花,83,0.083
踊り子,回る,蝶,女性,214,0.214
踊り子,回る,NA,NA,129,0.129
踊り子,舞台,蝶,羽,94,0.094
踊り子,舞台,蝶,舞う,318,0.318
踊り子,舞台,蝶,花,323,0.323
踊り子,舞台,蝶,飛ぶ,20,0.02
踊り子,舞台,蝶,美しさ,69,0.069
踊り子,舞台,蝶,儚さ,6,0.006
踊り子,舞台,蝶,空,8,0.008
踊り子,舞台,蝶,女性,33,0.033
踊り子,舞台,NA,NA,129,0.129
回る,舞台,舞う,羽,73,0.073
回る,舞台,美しさ,舞う,11,0.011
回る,舞台,儚さ,花,26,0.026
回る,舞台,舞う,飛ぶ,17,0.017
回る,舞台,飛ぶ,舞う,87,0.087
回る,舞台,舞う,花,46,0.046
回る,舞台,儚さ,美しさ,10,0.01
回る,舞台,美しさ,花,94,0.094
回る,舞台,美しさ,儚さ,2,0.002
回る,舞台,羽,美しさ,9,0.009
回る,舞台,空,舞う,65,0.065
回る,舞台,花,舞う,76,0.076
回る,舞台,女性,花,155,0.155
回る,舞台,花,空,2,0.002
回る,舞台,羽,舞う,41,0.041
回る,舞台,女性,舞う,36,0.036
回る,舞台,美しさ,女性,9,0.009
回る,舞台,女性,羽,6,0.006
回る,舞台,空,羽,3,0.003
回る,舞台,空,美しさ,29,0.029
回る,舞台,舞う,女性,15,0.015
回る,舞台,儚さ,女性,2,0.002
回る,舞台,女性,美しさ,15,0.015
回る,舞台,美しさ,羽,9,0.009
回る,舞台,舞う,美しさ,5,0.005
回る,舞台,空,女性,2,0.002
回る,舞台,羽,空,3,0.003
回る,舞台,空,飛ぶ,3,0.003
回る,舞台,儚さ,舞う,2,0.002
回る,舞台,舞う,儚さ,1,0.001
回る,舞台,飛ぶ,儚さ,2,0.002
回る,舞台,空,花,1,0.001
回る,舞台,花,羽,2,0.002
回る,舞台,飛ぶ,美しさ,1,0.001
回る,舞台,花,女性,3,0.003
回る,舞台,女性,儚さ,1,0.001
回る,舞台,飛ぶ,羽,1,0.001
回る,舞台,飛ぶ,花,1,0.001
回る,舞台,羽,女性,2,0.002
回る,舞台,舞う,空,2,0.002
回る,舞台,女性,空,1,0.001
回る,舞台,NA,NA,129,0.129
