B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,回る,蝶,羽,120,0.12
踊り子,回る,蝶,舞う,176,0.176
踊り子,回る,蝶,空,70,0.07
踊り子,回る,蝶,女性,255,0.255
踊り子,回る,蝶,花,83,0.083
踊り子,回る,蝶,儚さ,25,0.025
踊り子,回る,蝶,美しさ,34,0.034
踊り子,回る,蝶,飛ぶ,126,0.126
踊り子,回る,NA,NA,111,0.111
踊り子,夜,蝶,儚さ,405,0.405
踊り子,夜,蝶,女性,65,0.065
踊り子,夜,蝶,空,348,0.348
踊り子,夜,蝶,美しさ,46,0.046
踊り子,夜,蝶,花,5,0.005
踊り子,夜,蝶,羽,5,0.005
踊り子,夜,蝶,飛ぶ,5,0.005
踊り子,夜,蝶,舞う,10,0.01
踊り子,夜,NA,NA,111,0.111
夜,回る,儚さ,羽,108,0.108
夜,回る,儚さ,舞う,128,0.128
夜,回る,女性,空,35,0.035
夜,回る,空,女性,220,0.22
夜,回る,空,花,73,0.073
夜,回る,儚さ,女性,29,0.029
夜,回る,美しさ,儚さ,2,0.002
夜,回る,空,美しさ,24,0.024
夜,回る,儚さ,飛ぶ,107,0.107
夜,回る,儚さ,美しさ,8,0.008
夜,回る,花,羽,1,0.001
夜,回る,女性,飛ぶ,10,0.01
夜,回る,美しさ,舞う,23,0.023
夜,回る,儚さ,花,4,0.004
夜,回る,儚さ,空,21,0.021
夜,回る,空,儚さ,19,0.019
夜,回る,羽,空,1,0.001
夜,回る,空,舞う,11,0.011
夜,回る,花,空,4,0.004
夜,回る,飛ぶ,女性,4,0.004
夜,回る,美しさ,空,8,0.008
夜,回る,女性,儚さ,1,0.001
夜,回る,女性,舞う,13,0.013
夜,回る,羽,花,1,0.001
夜,回る,女性,羽,5,0.005
夜,回る,舞う,儚さ,3,0.003
夜,回る,美しさ,羽,2,0.002
夜,回る,美しさ,女性,1,0.001
夜,回る,美しさ,飛ぶ,9,0.009
夜,回る,羽,舞う,1,0.001
夜,回る,舞う,美しさ,1,0.001
夜,回る,羽,美しさ,1,0.001
夜,回る,羽,女性,1,0.001
夜,回る,舞う,花,2,0.002
夜,回る,舞う,羽,3,0.003
夜,回る,空,羽,1,0.001
夜,回る,舞う,空,1,0.001
夜,回る,美しさ,花,1,0.001
夜,回る,女性,花,1,0.001
夜,回る,飛ぶ,花,1,0.001
夜,回る,NA,NA,111,0.111
