B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,女性,蝶,舞う,59,0.059
踊り子,女性,蝶,花,380,0.38
踊り子,女性,蝶,女性,227,0.227
踊り子,女性,蝶,羽,295,0.295
踊り子,女性,蝶,飛ぶ,14,0.014
踊り子,女性,蝶,空,3,0.003
踊り子,女性,蝶,儚さ,11,0.011
踊り子,女性,蝶,美しさ,1,0.001
踊り子,女性,NA,NA,10,0.01
踊り子,夜,蝶,儚さ,414,0.414
踊り子,夜,蝶,空,512,0.512
踊り子,夜,蝶,美しさ,32,0.032
踊り子,夜,蝶,舞う,9,0.009
踊り子,夜,蝶,女性,13,0.013
踊り子,夜,蝶,花,4,0.004
踊り子,夜,蝶,羽,5,0.005
踊り子,夜,蝶,飛ぶ,1,0.001
踊り子,夜,NA,NA,10,0.01
夜,女性,儚さ,舞う,39,0.039
夜,女性,空,花,364,0.364
夜,女性,儚さ,女性,79,0.079
夜,女性,儚さ,羽,283,0.283
夜,女性,儚さ,飛ぶ,13,0.013
夜,女性,空,女性,148,0.148
夜,女性,美しさ,羽,8,0.008
夜,女性,美しさ,舞う,12,0.012
夜,女性,舞う,花,9,0.009
夜,女性,女性,舞う,6,0.006
夜,女性,花,舞う,2,0.002
夜,女性,羽,花,3,0.003
夜,女性,女性,羽,2,0.002
夜,女性,美しさ,空,3,0.003
夜,女性,羽,儚さ,2,0.002
夜,女性,花,羽,2,0.002
夜,女性,飛ぶ,美しさ,1,0.001
夜,女性,美しさ,花,3,0.003
夜,女性,美しさ,飛ぶ,1,0.001
夜,女性,女性,儚さ,4,0.004
夜,女性,美しさ,儚さ,5,0.005
夜,女性,女性,花,1,0.001
夜,女性,NA,NA,10,0.01
