B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,羽,143,0.143
踊り子,舞台,蝶,女性,157,0.157
踊り子,舞台,蝶,舞う,131,0.131
踊り子,舞台,蝶,花,279,0.279
踊り子,舞台,蝶,儚さ,7,0.007
踊り子,舞台,蝶,飛ぶ,248,0.248
踊り子,舞台,蝶,空,13,0.013
踊り子,舞台,蝶,美しさ,10,0.01
踊り子,舞台,NA,NA,12,0.012
踊り子,夜,蝶,女性,31,0.031
踊り子,夜,蝶,儚さ,480,0.48
踊り子,夜,蝶,空,415,0.415
踊り子,夜,蝶,美しさ,37,0.037
踊り子,夜,蝶,舞う,7,0.007
踊り子,夜,蝶,飛ぶ,9,0.009
踊り子,夜,蝶,羽,6,0.006
踊り子,夜,蝶,花,3,0.003
踊り子,夜,NA,NA,12,0.012
夜,舞台,女性,羽,3,0.003
夜,舞台,儚さ,羽,137,0.137
夜,舞台,儚さ,女性,14,0.014
夜,舞台,儚さ,舞う,94,0.094
夜,舞台,空,花,258,0.258
夜,舞台,空,女性,138,0.138
夜,舞台,空,儚さ,6,0.006
夜,舞台,美しさ,飛ぶ,15,0.015
夜,舞台,儚さ,飛ぶ,226,0.226
夜,舞台,女性,空,8,0.008
夜,舞台,女性,舞う,16,0.016
夜,舞台,舞う,美しさ,1,0.001
夜,舞台,美しさ,舞う,15,0.015
夜,舞台,儚さ,空,2,0.002
夜,舞台,空,美しさ,7,0.007
夜,舞台,儚さ,美しさ,2,0.002
夜,舞台,儚さ,花,5,0.005
夜,舞台,女性,飛ぶ,4,0.004
夜,舞台,飛ぶ,花,7,0.007
夜,舞台,空,舞う,6,0.006
夜,舞台,羽,女性,2,0.002
夜,舞台,羽,花,4,0.004
夜,舞台,飛ぶ,女性,2,0.002
夜,舞台,美しさ,女性,1,0.001
夜,舞台,美しさ,儚さ,1,0.001
夜,舞台,美しさ,羽,2,0.002
夜,舞台,舞う,花,5,0.005
夜,舞台,美しさ,空,3,0.003
夜,舞台,花,飛ぶ,3,0.003
夜,舞台,舞う,羽,1,0.001
夜,舞台,NA,NA,12,0.012
