B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,女性,蝶,女性,166,0.166
踊り子,女性,蝶,空,25,0.025
踊り子,女性,蝶,舞う,96,0.096
踊り子,女性,蝶,花,404,0.404
踊り子,女性,蝶,美しさ,241,0.241
踊り子,女性,蝶,儚さ,13,0.013
踊り子,女性,蝶,羽,49,0.049
踊り子,女性,NA,NA,6,0.006
踊り子,舞台,蝶,舞う,522,0.522
踊り子,舞台,蝶,花,117,0.117
踊り子,舞台,蝶,羽,248,0.248
踊り子,舞台,蝶,飛ぶ,21,0.021
踊り子,舞台,蝶,儚さ,13,0.013
踊り子,舞台,蝶,女性,32,0.032
踊り子,舞台,蝶,美しさ,34,0.034
踊り子,舞台,蝶,空,7,0.007
踊り子,舞台,NA,NA,6,0.006
女性,舞台,女性,舞う,96,0.096
女性,舞台,空,舞う,25,0.025
女性,舞台,舞う,花,72,0.072
女性,舞台,花,舞う,401,0.401
女性,舞台,美しさ,羽,234,0.234
女性,舞台,女性,花,45,0.045
女性,舞台,舞う,飛ぶ,19,0.019
女性,舞台,女性,羽,11,0.011
女性,舞台,女性,儚さ,13,0.013
女性,舞台,儚さ,女性,13,0.013
女性,舞台,羽,美しさ,33,0.033
女性,舞台,羽,女性,16,0.016
女性,舞台,美しさ,空,6,0.006
女性,舞台,舞う,羽,3,0.003
女性,舞台,花,空,1,0.001
女性,舞台,舞う,女性,2,0.002
女性,舞台,花,飛ぶ,1,0.001
女性,舞台,美しさ,飛ぶ,1,0.001
女性,舞台,女性,美しさ,1,0.001
女性,舞台,花,女性,1,0.001
女性,舞台,NA,NA,6,0.006
