B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,女性,蝶,羽,182,0.182
踊り子,女性,蝶,舞う,151,0.151
踊り子,女性,蝶,女性,468,0.468
踊り子,女性,蝶,美しさ,118,0.118
踊り子,女性,蝶,空,4,0.004
踊り子,女性,蝶,花,15,0.015
踊り子,女性,蝶,儚さ,30,0.03
踊り子,女性,蝶,飛ぶ,6,0.006
踊り子,女性,NA,NA,26,0.026
踊り子,音楽,蝶,女性,200,0.2
踊り子,音楽,蝶,花,166,0.166
踊り子,音楽,蝶,舞う,386,0.386
踊り子,音楽,蝶,儚さ,48,0.048
踊り子,音楽,蝶,羽,89,0.089
踊り子,音楽,蝶,美しさ,41,0.041
踊り子,音楽,蝶,空,39,0.039
踊り子,音楽,蝶,飛ぶ,5,0.005
踊り子,音楽,NA,NA,26,0.026
女性,音楽,羽,女性,163,0.163
女性,音楽,舞う,花,142,0.142
女性,音楽,女性,舞う,386,0.386
女性,音楽,女性,儚さ,48,0.048
女性,音楽,美しさ,羽,83,0.083
女性,音楽,羽,美しさ,19,0.019
女性,音楽,美しさ,空,34,0.034
女性,音楽,空,美しさ,4,0.004
女性,音楽,花,女性,10,0.01
女性,音楽,儚さ,美しさ,7,0.007
女性,音楽,儚さ,女性,22,0.022
女性,音楽,舞う,美しさ,2,0.002
女性,音楽,女性,花,24,0.024
女性,音楽,飛ぶ,美しさ,6,0.006
女性,音楽,女性,羽,6,0.006
女性,音楽,舞う,女性,4,0.004
女性,音楽,花,空,3,0.003
女性,音楽,女性,美しさ,3,0.003
女性,音楽,舞う,飛ぶ,3,0.003
女性,音楽,美しさ,女性,1,0.001
女性,音楽,女性,空,1,0.001
女性,音楽,花,飛ぶ,2,0.002
女性,音楽,儚さ,空,1,0.001
女性,音楽,NA,NA,26,0.026
