B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,女性,202,0.202
踊り子,揺れる,蝶,儚さ,280,0.28
踊り子,揺れる,蝶,美しさ,91,0.091
踊り子,揺れる,蝶,羽,227,0.227
踊り子,揺れる,蝶,舞う,70,0.07
踊り子,揺れる,蝶,空,31,0.031
踊り子,揺れる,蝶,花,27,0.027
踊り子,揺れる,蝶,飛ぶ,15,0.015
踊り子,揺れる,NA,NA,57,0.057
踊り子,夜,蝶,空,526,0.526
踊り子,夜,蝶,儚さ,291,0.291
踊り子,夜,蝶,美しさ,35,0.035
踊り子,夜,蝶,舞う,24,0.024
踊り子,夜,蝶,羽,11,0.011
踊り子,夜,蝶,女性,28,0.028
踊り子,夜,蝶,飛ぶ,14,0.014
踊り子,夜,蝶,花,14,0.014
踊り子,夜,NA,NA,57,0.057
揺れる,夜,女性,空,187,0.187
揺れる,夜,儚さ,空,232,0.232
揺れる,夜,美しさ,空,67,0.067
揺れる,夜,羽,儚さ,189,0.189
揺れる,夜,美しさ,儚さ,12,0.012
揺れる,夜,女性,儚さ,9,0.009
揺れる,夜,羽,美しさ,17,0.017
揺れる,夜,舞う,空,13,0.013
揺れる,夜,儚さ,美しさ,10,0.01
揺れる,夜,舞う,儚さ,54,0.054
揺れる,夜,空,儚さ,13,0.013
揺れる,夜,儚さ,舞う,16,0.016
揺れる,夜,儚さ,羽,8,0.008
揺れる,夜,花,空,22,0.022
揺れる,夜,空,女性,14,0.014
揺れる,夜,飛ぶ,儚さ,11,0.011
揺れる,夜,美しさ,舞う,4,0.004
揺れる,夜,女性,舞う,4,0.004
揺れる,夜,美しさ,飛ぶ,4,0.004
揺れる,夜,儚さ,飛ぶ,9,0.009
揺れる,夜,羽,花,12,0.012
揺れる,夜,羽,空,4,0.004
揺れる,夜,儚さ,女性,5,0.005
揺れる,夜,飛ぶ,美しさ,3,0.003
揺れる,夜,女性,美しさ,2,0.002
揺れる,夜,花,儚さ,3,0.003
揺れる,夜,美しさ,女性,3,0.003
揺れる,夜,舞う,女性,1,0.001
揺れる,夜,羽,女性,5,0.005
揺れる,夜,舞う,飛ぶ,1,0.001
揺れる,夜,空,花,2,0.002
揺れる,夜,舞う,美しさ,1,0.001
揺れる,夜,美しさ,羽,1,0.001
揺れる,夜,花,羽,2,0.002
揺れる,夜,飛ぶ,空,1,0.001
揺れる,夜,空,美しさ,2,0.002
揺れる,夜,NA,NA,57,0.057
