B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,儚さ,393,0.393
踊り子,揺れる,蝶,美しさ,168,0.168
踊り子,揺れる,蝶,羽,108,0.108
踊り子,揺れる,蝶,女性,125,0.125
踊り子,揺れる,蝶,舞う,57,0.057
踊り子,揺れる,蝶,花,46,0.046
踊り子,揺れる,蝶,飛ぶ,21,0.021
踊り子,揺れる,蝶,空,34,0.034
踊り子,揺れる,NA,NA,48,0.048
踊り子,舞台,蝶,舞う,366,0.366
踊り子,舞台,蝶,飛ぶ,203,0.203
踊り子,舞台,蝶,花,147,0.147
踊り子,舞台,蝶,羽,136,0.136
踊り子,舞台,蝶,女性,46,0.046
踊り子,舞台,蝶,空,22,0.022
踊り子,舞台,蝶,儚さ,17,0.017
踊り子,舞台,蝶,美しさ,15,0.015
踊り子,舞台,NA,NA,48,0.048
揺れる,舞台,儚さ,舞う,163,0.163
揺れる,舞台,美しさ,飛ぶ,69,0.069
揺れる,舞台,羽,花,82,0.082
揺れる,舞台,儚さ,飛ぶ,94,0.094
揺れる,舞台,儚さ,羽,109,0.109
揺れる,舞台,女性,舞う,103,0.103
揺れる,舞台,舞う,花,24,0.024
揺れる,舞台,花,舞う,17,0.017
揺れる,舞台,女性,飛ぶ,8,0.008
揺れる,舞台,舞う,女性,5,0.005
揺れる,舞台,美しさ,舞う,78,0.078
揺れる,舞台,女性,空,8,0.008
揺れる,舞台,花,飛ぶ,20,0.02
揺れる,舞台,舞う,儚さ,4,0.004
揺れる,舞台,羽,女性,8,0.008
揺れる,舞台,美しさ,羽,9,0.009
揺れる,舞台,花,女性,1,0.001
揺れる,舞台,舞う,飛ぶ,11,0.011
揺れる,舞台,羽,儚さ,10,0.01
揺れる,舞台,儚さ,花,5,0.005
揺れる,舞台,飛ぶ,美しさ,8,0.008
揺れる,舞台,空,花,20,0.02
揺れる,舞台,女性,花,3,0.003
揺れる,舞台,空,女性,11,0.011
揺れる,舞台,羽,舞う,3,0.003
揺れる,舞台,飛ぶ,花,10,0.01
揺れる,舞台,儚さ,女性,16,0.016
揺れる,舞台,舞う,羽,11,0.011
揺れる,舞台,美しさ,空,5,0.005
揺れる,舞台,花,羽,6,0.006
揺れる,舞台,儚さ,空,5,0.005
揺れる,舞台,舞う,空,1,0.001
揺れる,舞台,飛ぶ,舞う,1,0.001
揺れる,舞台,飛ぶ,女性,2,0.002
揺れる,舞台,美しさ,花,3,0.003
揺れる,舞台,羽,美しさ,4,0.004
揺れる,舞台,花,空,2,0.002
揺れる,舞台,美しさ,儚さ,1,0.001
揺れる,舞台,美しさ,女性,3,0.003
揺れる,舞台,空,儚さ,1,0.001
揺れる,舞台,空,舞う,1,0.001
揺れる,舞台,女性,儚さ,1,0.001
揺れる,舞台,羽,空,1,0.001
揺れる,舞台,儚さ,美しさ,1,0.001
揺れる,舞台,女性,羽,1,0.001
揺れる,舞台,女性,美しさ,1,0.001
揺れる,舞台,舞う,美しさ,1,0.001
揺れる,舞台,空,飛ぶ,1,0.001
揺れる,舞台,NA,NA,48,0.048
