B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,儚さ,406,0.406
踊り子,揺れる,蝶,飛ぶ,25,0.025
踊り子,揺れる,蝶,女性,126,0.126
踊り子,揺れる,蝶,舞う,65,0.065
踊り子,揺れる,蝶,美しさ,127,0.127
踊り子,揺れる,蝶,羽,130,0.13
踊り子,揺れる,蝶,空,20,0.02
踊り子,揺れる,蝶,花,31,0.031
踊り子,揺れる,NA,NA,70,0.07
踊り子,音楽,蝶,舞う,432,0.432
踊り子,音楽,蝶,美しさ,92,0.092
踊り子,音楽,蝶,花,72,0.072
踊り子,音楽,蝶,女性,177,0.177
踊り子,音楽,蝶,空,39,0.039
踊り子,音楽,蝶,羽,65,0.065
踊り子,音楽,蝶,儚さ,29,0.029
踊り子,音楽,蝶,飛ぶ,24,0.024
踊り子,音楽,NA,NA,70,0.07
揺れる,音楽,儚さ,舞う,225,0.225
揺れる,音楽,飛ぶ,美しさ,20,0.02
揺れる,音楽,女性,花,4,0.004
揺れる,音楽,女性,舞う,106,0.106
揺れる,音楽,儚さ,女性,72,0.072
揺れる,音楽,舞う,花,39,0.039
揺れる,音楽,美しさ,舞う,84,0.084
揺れる,音楽,羽,美しさ,34,0.034
揺れる,音楽,美しさ,空,16,0.016
揺れる,音楽,空,女性,6,0.006
揺れる,音楽,儚さ,羽,47,0.047
揺れる,音楽,羽,儚さ,5,0.005
揺れる,音楽,花,飛ぶ,4,0.004
揺れる,音楽,羽,女性,80,0.08
揺れる,音楽,儚さ,美しさ,32,0.032
揺れる,音楽,羽,舞う,5,0.005
揺れる,音楽,花,空,6,0.006
揺れる,音楽,羽,花,5,0.005
揺れる,音楽,舞う,羽,2,0.002
揺れる,音楽,花,羽,7,0.007
揺れる,音楽,儚さ,花,8,0.008
揺れる,音楽,美しさ,羽,5,0.005
揺れる,音楽,美しさ,飛ぶ,6,0.006
揺れる,音楽,美しさ,花,5,0.005
揺れる,音楽,花,舞う,10,0.01
揺れる,音楽,女性,美しさ,2,0.002
揺れる,音楽,空,花,10,0.01
揺れる,音楽,儚さ,空,12,0.012
揺れる,音楽,花,女性,2,0.002
揺れる,音楽,美しさ,儚さ,3,0.003
揺れる,音楽,美しさ,女性,8,0.008
揺れる,音楽,女性,儚さ,5,0.005
揺れる,音楽,儚さ,飛ぶ,10,0.01
揺れる,音楽,飛ぶ,儚さ,3,0.003
揺れる,音楽,舞う,女性,8,0.008
揺れる,音楽,空,舞う,2,0.002
揺れる,音楽,舞う,飛ぶ,2,0.002
揺れる,音楽,舞う,儚さ,10,0.01
揺れる,音楽,空,儚さ,2,0.002
揺れる,音楽,花,儚さ,1,0.001
揺れる,音楽,女性,羽,4,0.004
揺れる,音楽,女性,飛ぶ,2,0.002
揺れる,音楽,舞う,美しさ,3,0.003
揺れる,音楽,女性,空,3,0.003
揺れる,音楽,飛ぶ,女性,1,0.001
揺れる,音楽,飛ぶ,花,1,0.001
揺れる,音楽,花,美しさ,1,0.001
揺れる,音楽,舞う,空,1,0.001
揺れる,音楽,羽,空,1,0.001
揺れる,音楽,NA,NA,70,0.07
