B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,回る,蝶,女性,197,0.197
踊り子,回る,蝶,舞う,179,0.179
踊り子,回る,蝶,羽,99,0.099
踊り子,回る,蝶,美しさ,203,0.203
踊り子,回る,蝶,空,98,0.098
踊り子,回る,蝶,飛ぶ,29,0.029
踊り子,回る,蝶,儚さ,28,0.028
踊り子,回る,蝶,花,53,0.053
踊り子,回る,NA,NA,114,0.114
踊り子,踊り,蝶,舞う,411,0.411
踊り子,踊り,蝶,女性,85,0.085
踊り子,踊り,蝶,飛ぶ,115,0.115
踊り子,踊り,蝶,羽,155,0.155
踊り子,踊り,蝶,美しさ,53,0.053
踊り子,踊り,蝶,花,63,0.063
踊り子,踊り,蝶,空,4,0.004
踊り子,踊り,NA,NA,114,0.114
踊り,回る,舞う,女性,155,0.155
踊り,回る,女性,舞う,22,0.022
踊り,回る,舞う,羽,37,0.037
踊り,回る,舞う,美しさ,169,0.169
踊り,回る,飛ぶ,舞う,21,0.021
踊り,回る,舞う,空,32,0.032
踊り,回る,女性,美しさ,22,0.022
踊り,回る,羽,舞う,123,0.123
踊り,回る,舞う,飛ぶ,15,0.015
踊り,回る,羽,飛ぶ,12,0.012
踊り,回る,飛ぶ,羽,56,0.056
踊り,回る,羽,空,20,0.02
踊り,回る,美しさ,空,7,0.007
踊り,回る,花,儚さ,17,0.017
踊り,回る,美しさ,儚さ,9,0.009
踊り,回る,美しさ,花,11,0.011
踊り,回る,女性,花,41,0.041
踊り,回る,花,女性,22,0.022
踊り,回る,美しさ,女性,20,0.02
踊り,回る,飛ぶ,空,38,0.038
踊り,回る,花,美しさ,12,0.012
踊り,回る,美しさ,羽,3,0.003
踊り,回る,空,舞う,2,0.002
踊り,回る,花,舞う,9,0.009
踊り,回る,美しさ,舞う,2,0.002
踊り,回る,空,羽,1,0.001
踊り,回る,舞う,儚さ,2,0.002
踊り,回る,空,飛ぶ,1,0.001
踊り,回る,美しさ,飛ぶ,1,0.001
踊り,回る,舞う,花,1,0.001
踊り,回る,花,羽,2,0.002
踊り,回る,花,空,1,0.001
踊り,回る,NA,NA,114,0.114
