B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,美しさ,112,0.112
踊り子,踊り,蝶,花,253,0.253
踊り子,踊り,蝶,舞う,461,0.461
踊り子,踊り,蝶,羽,66,0.066
踊り子,踊り,蝶,女性,14,0.014
踊り子,踊り,蝶,飛ぶ,85,0.085
踊り子,踊り,蝶,儚さ,2,0.002
踊り子,踊り,NA,NA,7,0.007
踊り子,夜,蝶,儚さ,512,0.512
踊り子,夜,蝶,空,368,0.368
踊り子,夜,蝶,女性,40,0.04
踊り子,夜,蝶,舞う,5,0.005
踊り子,夜,蝶,美しさ,58,0.058
踊り子,夜,蝶,花,5,0.005
踊り子,夜,蝶,羽,2,0.002
踊り子,夜,蝶,飛ぶ,3,0.003
踊り子,夜,NA,NA,7,0.007
踊り,夜,美しさ,儚さ,6,0.006
踊り,夜,花,空,249,0.249
踊り,夜,舞う,儚さ,438,0.438
踊り,夜,羽,女性,38,0.038
踊り,夜,女性,舞う,1,0.001
踊り,夜,飛ぶ,美しさ,42,0.042
踊り,夜,飛ぶ,儚さ,43,0.043
踊り,夜,美しさ,空,104,0.104
踊り,夜,花,舞う,4,0.004
踊り,夜,舞う,花,5,0.005
踊り,夜,儚さ,女性,1,0.001
踊り,夜,女性,儚さ,11,0.011
踊り,夜,舞う,空,13,0.013
踊り,夜,舞う,女性,1,0.001
踊り,夜,羽,儚さ,14,0.014
踊り,夜,羽,美しさ,14,0.014
踊り,夜,舞う,羽,1,0.001
踊り,夜,舞う,飛ぶ,2,0.002
踊り,夜,女性,空,1,0.001
踊り,夜,儚さ,空,1,0.001
踊り,夜,舞う,美しさ,1,0.001
踊り,夜,女性,美しさ,1,0.001
踊り,夜,美しさ,羽,1,0.001
踊り,夜,美しさ,飛ぶ,1,0.001
踊り,夜,NA,NA,7,0.007
