B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,女性,蝶,羽,227,0.227
踊り子,女性,蝶,花,245,0.245
踊り子,女性,蝶,儚さ,82,0.082
踊り子,女性,蝶,女性,123,0.123
踊り子,女性,蝶,美しさ,116,0.116
踊り子,女性,蝶,舞う,173,0.173
踊り子,女性,蝶,空,16,0.016
踊り子,女性,NA,NA,18,0.018
踊り子,音楽,蝶,舞う,274,0.274
踊り子,音楽,蝶,美しさ,239,0.239
踊り子,音楽,蝶,女性,89,0.089
踊り子,音楽,蝶,儚さ,69,0.069
踊り子,音楽,蝶,羽,106,0.106
踊り子,音楽,蝶,花,169,0.169
踊り子,音楽,蝶,空,26,0.026
踊り子,音楽,蝶,飛ぶ,10,0.01
踊り子,音楽,NA,NA,18,0.018
音楽,女性,舞う,羽,20,0.02
音楽,女性,舞う,花,237,0.237
音楽,女性,美しさ,羽,196,0.196
音楽,女性,女性,儚さ,67,0.067
音楽,女性,儚さ,女性,69,0.069
音楽,女性,女性,花,3,0.003
音楽,女性,羽,美しさ,88,0.088
音楽,女性,花,舞う,143,0.143
音楽,女性,花,女性,17,0.017
音楽,女性,美しさ,空,10,0.01
音楽,女性,空,舞う,7,0.007
音楽,女性,空,美しさ,18,0.018
音楽,女性,羽,女性,18,0.018
音楽,女性,美しさ,女性,2,0.002
音楽,女性,舞う,女性,17,0.017
音楽,女性,美しさ,舞う,13,0.013
音楽,女性,飛ぶ,美しさ,9,0.009
音楽,女性,女性,舞う,10,0.01
音楽,女性,美しさ,儚さ,14,0.014
音楽,女性,花,空,6,0.006
音楽,女性,空,花,1,0.001
音楽,女性,女性,羽,8,0.008
音楽,女性,飛ぶ,儚さ,1,0.001
音楽,女性,花,羽,3,0.003
音楽,女性,美しさ,花,4,0.004
音楽,女性,女性,美しさ,1,0.001
音楽,女性,NA,NA,18,0.018
