B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,回る,蝶,舞う,237,0.237
踊り子,回る,蝶,儚さ,102,0.102
踊り子,回る,蝶,女性,108,0.108
踊り子,回る,蝶,美しさ,108,0.108
踊り子,回る,蝶,空,117,0.117
踊り子,回る,蝶,羽,144,0.144
踊り子,回る,蝶,花,33,0.033
踊り子,回る,蝶,飛ぶ,21,0.021
踊り子,回る,NA,NA,130,0.13
踊り子,スカート,蝶,女性,413,0.413
踊り子,スカート,蝶,美しさ,224,0.224
踊り子,スカート,蝶,羽,91,0.091
踊り子,スカート,蝶,飛ぶ,10,0.01
踊り子,スカート,蝶,儚さ,35,0.035
踊り子,スカート,蝶,空,35,0.035
踊り子,スカート,蝶,舞う,46,0.046
踊り子,スカート,蝶,花,16,0.016
踊り子,スカート,NA,NA,130,0.13
スカート,回る,女性,舞う,206,0.206
スカート,回る,女性,儚さ,101,0.101
スカート,回る,美しさ,女性,34,0.034
スカート,回る,羽,美しさ,57,0.057
スカート,回る,美しさ,空,87,0.087
スカート,回る,美しさ,羽,88,0.088
スカート,回る,女性,羽,55,0.055
スカート,回る,女性,美しさ,30,0.03
スカート,回る,飛ぶ,美しさ,10,0.01
スカート,回る,儚さ,空,6,0.006
スカート,回る,羽,女性,32,0.032
スカート,回る,儚さ,女性,27,0.027
スカート,回る,空,舞う,26,0.026
スカート,回る,舞う,花,20,0.02
スカート,回る,舞う,女性,13,0.013
スカート,回る,花,空,11,0.011
スカート,回る,舞う,飛ぶ,7,0.007
スカート,回る,空,美しさ,9,0.009
スカート,回る,舞う,空,5,0.005
スカート,回る,美しさ,飛ぶ,10,0.01
スカート,回る,女性,空,6,0.006
スカート,回る,美しさ,舞う,4,0.004
スカート,回る,花,飛ぶ,2,0.002
スカート,回る,女性,花,13,0.013
スカート,回る,女性,飛ぶ,2,0.002
スカート,回る,美しさ,儚さ,1,0.001
スカート,回る,花,舞う,1,0.001
スカート,回る,羽,空,2,0.002
スカート,回る,花,女性,2,0.002
スカート,回る,舞う,羽,1,0.001
スカート,回る,儚さ,美しさ,2,0.002
スカート,回る,NA,NA,130,0.13
