B_dom,B_cod,A_dom,A_cod,count,probability
スカート,舞台,女性,花,349,0.349
スカート,舞台,空,舞う,26,0.026
スカート,舞台,花,舞う,164,0.164
スカート,舞台,美しさ,儚さ,13,0.013
スカート,舞台,舞う,羽,138,0.138
スカート,舞台,女性,舞う,140,0.14
スカート,舞台,美しさ,羽,60,0.06
スカート,舞台,美しさ,花,12,0.012
スカート,舞台,羽,美しさ,14,0.014
スカート,舞台,女性,美しさ,7,0.007
スカート,舞台,舞う,花,5,0.005
スカート,舞台,女性,羽,6,0.006
スカート,舞台,舞う,飛ぶ,9,0.009
スカート,舞台,美しさ,女性,13,0.013
スカート,舞台,女性,飛ぶ,4,0.004
スカート,舞台,女性,儚さ,7,0.007
スカート,舞台,儚さ,女性,1,0.001
スカート,舞台,舞う,女性,2,0.002
スカート,舞台,空,飛ぶ,1,0.001
スカート,舞台,美しさ,舞う,5,0.005
スカート,舞台,美しさ,空,4,0.004
スカート,舞台,女性,空,1,0.001
スカート,舞台,羽,舞う,1,0.001
スカート,舞台,飛ぶ,舞う,2,0.002
スカート,舞台,空,美しさ,2,0.002
スカート,舞台,花,羽,1,0.001
スカート,舞台,儚さ,舞う,1,0.001
スカート,舞台,舞う,空,1,0.001
スカート,舞台,美しさ,飛ぶ,1,0.001
スカート,舞台,羽,空,1,0.001
スカート,舞台,NA,NA,9,0.009
踊り子,スカート,蝶,女性,514,0.514
踊り子,スカート,蝶,空,29,0.029
踊り子,スカート,蝶,花,165,0.165
踊り子,スカート,蝶,美しさ,108,0.108
踊り子,スカート,蝶,舞う,155,0.155
踊り子,スカート,蝶,羽,16,0.016
踊り子,スカート,蝶,儚さ,2,0.002
踊り子,スカート,蝶,飛ぶ,2,0.002
踊り子,スカート,NA,NA,9,0.009
踊り子,舞台,蝶,花,366,0.366
踊り子,舞台,蝶,舞う,339,0.339
踊り子,舞台,蝶,儚さ,20,0.02
踊り子,舞台,蝶,羽,205,0.205
踊り子,舞台,蝶,美しさ,23,0.023
踊り子,舞台,蝶,飛ぶ,15,0.015
踊り子,舞台,蝶,女性,16,0.016
踊り子,舞台,蝶,空,7,0.007
踊り子,舞台,NA,NA,9,0.009
