B_dom,B_cod,A_dom,A_cod,count,probability
スカート,踊り,女性,舞う,579,0.579
スカート,踊り,美しさ,羽,212,0.212
スカート,踊り,女性,羽,49,0.049
スカート,踊り,舞う,花,13,0.013
スカート,踊り,女性,飛ぶ,7,0.007
スカート,踊り,女性,花,14,0.014
スカート,踊り,羽,美しさ,3,0.003
スカート,踊り,舞う,飛ぶ,20,0.02
スカート,踊り,女性,儚さ,25,0.025
スカート,踊り,花,羽,3,0.003
スカート,踊り,美しさ,空,1,0.001
スカート,踊り,羽,女性,19,0.019
スカート,踊り,美しさ,飛ぶ,11,0.011
スカート,踊り,儚さ,女性,2,0.002
スカート,踊り,花,舞う,1,0.001
スカート,踊り,美しさ,女性,3,0.003
スカート,踊り,女性,美しさ,6,0.006
スカート,踊り,空,花,1,0.001
スカート,踊り,美しさ,舞う,7,0.007
スカート,踊り,飛ぶ,美しさ,2,0.002
スカート,踊り,舞う,羽,2,0.002
スカート,踊り,空,美しさ,1,0.001
スカート,踊り,舞う,儚さ,1,0.001
スカート,踊り,空,舞う,6,0.006
スカート,踊り,女性,空,2,0.002
スカート,踊り,儚さ,舞う,2,0.002
スカート,踊り,美しさ,儚さ,1,0.001
スカート,踊り,儚さ,空,1,0.001
スカート,踊り,NA,NA,6,0.006
踊り子,スカート,蝶,女性,682,0.682
踊り子,スカート,蝶,美しさ,235,0.235
踊り子,スカート,蝶,舞う,36,0.036
踊り子,スカート,蝶,羽,22,0.022
踊り子,スカート,蝶,花,4,0.004
踊り子,スカート,蝶,儚さ,5,0.005
踊り子,スカート,蝶,空,8,0.008
踊り子,スカート,蝶,飛ぶ,2,0.002
踊り子,スカート,NA,NA,6,0.006
踊り子,踊り,蝶,舞う,595,0.595
踊り子,踊り,蝶,羽,266,0.266
踊り子,踊り,蝶,花,28,0.028
踊り子,踊り,蝶,飛ぶ,38,0.038
踊り子,踊り,蝶,美しさ,12,0.012
踊り子,踊り,蝶,儚さ,27,0.027
踊り子,踊り,蝶,空,4,0.004
踊り子,踊り,蝶,女性,24,0.024
踊り子,踊り,NA,NA,6,0.006
