B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,回る,蝶,花,45,0.045
踊り子,回る,蝶,舞う,162,0.162
踊り子,回る,蝶,空,137,0.137
踊り子,回る,蝶,羽,167,0.167
踊り子,回る,蝶,儚さ,67,0.067
踊り子,回る,蝶,美しさ,166,0.166
踊り子,回る,蝶,飛ぶ,23,0.023
踊り子,回る,蝶,女性,85,0.085
踊り子,回る,NA,NA,148,0.148
踊り子,スカート,蝶,舞う,61,0.061
踊り子,スカート,蝶,女性,407,0.407
踊り子,スカート,蝶,羽,58,0.058
踊り子,スカート,蝶,美しさ,262,0.262
踊り子,スカート,蝶,儚さ,47,0.047
踊り子,スカート,蝶,花,11,0.011
踊り子,スカート,蝶,空,3,0.003
踊り子,スカート,蝶,飛ぶ,3,0.003
踊り子,スカート,NA,NA,148,0.148
回る,スカート,花,舞う,30,0.03
回る,スカート,舞う,女性,107,0.107
回る,スカート,舞う,羽,52,0.052
回る,スカート,空,美しさ,115,0.115
回る,スカート,羽,女性,74,0.074
回る,スカート,儚さ,女性,66,0.066
回る,スカート,美しさ,儚さ,26,0.026
回る,スカート,美しさ,女性,138,0.138
回る,スカート,舞う,花,2,0.002
回る,スカート,飛ぶ,女性,3,0.003
回る,スカート,女性,舞う,12,0.012
回る,スカート,羽,美しさ,92,0.092
回る,スカート,飛ぶ,舞う,8,0.008
回る,スカート,女性,花,7,0.007
回る,スカート,花,美しさ,1,0.001
回る,スカート,女性,羽,2,0.002
回る,スカート,空,女性,6,0.006
回る,スカート,空,羽,2,0.002
回る,スカート,女性,美しさ,41,0.041
回る,スカート,女性,儚さ,20,0.02
回る,スカート,花,女性,13,0.013
回る,スカート,飛ぶ,美しさ,11,0.011
回る,スカート,空,舞う,11,0.011
回る,スカート,空,儚さ,1,0.001
回る,スカート,女性,空,2,0.002
回る,スカート,飛ぶ,羽,1,0.001
回る,スカート,儚さ,美しさ,1,0.001
回る,スカート,女性,飛ぶ,1,0.001
回る,スカート,空,飛ぶ,2,0.002
回る,スカート,美しさ,花,1,0.001
回る,スカート,花,羽,1,0.001
回る,スカート,舞う,美しさ,1,0.001
回る,スカート,美しさ,空,1,0.001
回る,スカート,羽,花,1,0.001
回る,スカート,NA,NA,148,0.148
