B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,儚さ,285,0.285
踊り子,揺れる,蝶,女性,188,0.188
踊り子,揺れる,蝶,空,26,0.026
踊り子,揺れる,蝶,花,55,0.055
踊り子,揺れる,蝶,羽,250,0.25
踊り子,揺れる,蝶,舞う,72,0.072
踊り子,揺れる,蝶,飛ぶ,26,0.026
踊り子,揺れる,蝶,美しさ,36,0.036
踊り子,揺れる,NA,NA,62,0.062
踊り子,夜,蝶,空,495,0.495
踊り子,夜,蝶,羽,12,0.012
踊り子,夜,蝶,舞う,22,0.022
踊り子,夜,蝶,美しさ,35,0.035
踊り子,夜,蝶,女性,39,0.039
踊り子,夜,蝶,儚さ,321,0.321
踊り子,夜,蝶,花,6,0.006
踊り子,夜,蝶,飛ぶ,8,0.008
踊り子,夜,NA,NA,62,0.062
夜,揺れる,空,儚さ,239,0.239
夜,揺れる,羽,儚さ,8,0.008
夜,揺れる,舞う,女性,1,0.001
夜,揺れる,空,女性,176,0.176
夜,揺れる,美しさ,空,6,0.006
夜,揺れる,空,花,44,0.044
夜,揺れる,女性,羽,7,0.007
夜,揺れる,儚さ,舞う,50,0.05
夜,揺れる,儚さ,女性,6,0.006
夜,揺れる,羽,花,4,0.004
夜,揺れる,花,飛ぶ,3,0.003
夜,揺れる,儚さ,羽,230,0.23
夜,揺れる,儚さ,飛ぶ,21,0.021
夜,揺れる,美しさ,羽,8,0.008
夜,揺れる,女性,空,12,0.012
夜,揺れる,美しさ,飛ぶ,2,0.002
夜,揺れる,舞う,儚さ,17,0.017
夜,揺れる,花,女性,1,0.001
夜,揺れる,女性,儚さ,12,0.012
夜,揺れる,美しさ,儚さ,6,0.006
夜,揺れる,美しさ,舞う,10,0.01
夜,揺れる,空,美しさ,29,0.029
夜,揺れる,空,羽,3,0.003
夜,揺れる,儚さ,美しさ,4,0.004
夜,揺れる,美しさ,女性,3,0.003
夜,揺れる,舞う,空,1,0.001
夜,揺れる,飛ぶ,女性,1,0.001
夜,揺れる,儚さ,花,4,0.004
夜,揺れる,女性,舞う,8,0.008
夜,揺れる,儚さ,空,6,0.006
夜,揺れる,舞う,羽,1,0.001
夜,揺れる,飛ぶ,美しさ,2,0.002
夜,揺れる,空,舞う,4,0.004
夜,揺れる,舞う,花,2,0.002
夜,揺れる,花,羽,1,0.001
夜,揺れる,飛ぶ,儚さ,3,0.003
夜,揺れる,飛ぶ,花,1,0.001
夜,揺れる,花,美しさ,1,0.001
夜,揺れる,飛ぶ,空,1,0.001
夜,揺れる,NA,NA,62,0.062
