B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,女性,蝶,女性,81,0.081
踊り子,女性,蝶,美しさ,802,0.802
踊り子,女性,蝶,花,29,0.029
踊り子,女性,蝶,舞う,70,0.07
踊り子,女性,蝶,羽,6,0.006
踊り子,女性,蝶,空,2,0.002
踊り子,女性,蝶,飛ぶ,1,0.001
踊り子,女性,蝶,儚さ,3,0.003
踊り子,女性,NA,NA,6,0.006
踊り子,スカート,蝶,美しさ,110,0.11
踊り子,スカート,蝶,女性,863,0.863
踊り子,スカート,蝶,花,9,0.009
踊り子,スカート,蝶,羽,2,0.002
踊り子,スカート,蝶,空,2,0.002
踊り子,スカート,蝶,舞う,8,0.008
踊り子,スカート,NA,NA,6,0.006
女性,スカート,女性,美しさ,71,0.071
女性,スカート,美しさ,女性,801,0.801
女性,スカート,花,女性,27,0.027
女性,スカート,舞う,女性,31,0.031
女性,スカート,舞う,美しさ,39,0.039
女性,スカート,女性,花,9,0.009
女性,スカート,美しさ,羽,1,0.001
女性,スカート,羽,空,1,0.001
女性,スカート,花,舞う,2,0.002
女性,スカート,空,舞う,1,0.001
女性,スカート,飛ぶ,空,1,0.001
女性,スカート,儚さ,女性,3,0.003
女性,スカート,羽,女性,1,0.001
女性,スカート,羽,舞う,4,0.004
女性,スカート,空,羽,1,0.001
女性,スカート,女性,舞う,1,0.001
女性,スカート,NA,NA,6,0.006
