B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,女性,蝶,女性,561,0.561
踊り子,女性,蝶,羽,105,0.105
踊り子,女性,蝶,飛ぶ,33,0.033
踊り子,女性,蝶,空,37,0.037
踊り子,女性,蝶,美しさ,107,0.107
踊り子,女性,蝶,花,9,0.009
踊り子,女性,蝶,儚さ,24,0.024
踊り子,女性,蝶,舞う,24,0.024
踊り子,女性,NA,NA,100,0.1
踊り子,回る,蝶,空,216,0.216
踊り子,回る,蝶,花,70,0.07
踊り子,回る,蝶,舞う,233,0.233
踊り子,回る,蝶,美しさ,42,0.042
踊り子,回る,蝶,儚さ,26,0.026
踊り子,回る,蝶,女性,108,0.108
踊り子,回る,蝶,羽,83,0.083
踊り子,回る,蝶,飛ぶ,122,0.122
踊り子,回る,NA,NA,100,0.1
女性,回る,女性,空,216,0.216
女性,回る,羽,花,46,0.046
女性,回る,女性,舞う,233,0.233
女性,回る,飛ぶ,美しさ,12,0.012
女性,回る,羽,儚さ,14,0.014
女性,回る,羽,女性,32,0.032
女性,回る,女性,儚さ,6,0.006
女性,回る,飛ぶ,儚さ,1,0.001
女性,回る,女性,羽,83,0.083
女性,回る,羽,美しさ,13,0.013
女性,回る,空,女性,32,0.032
女性,回る,美しさ,飛ぶ,106,0.106
女性,回る,女性,飛ぶ,16,0.016
女性,回る,飛ぶ,女性,15,0.015
女性,回る,花,女性,9,0.009
女性,回る,儚さ,女性,15,0.015
女性,回る,舞う,美しさ,3,0.003
女性,回る,飛ぶ,花,5,0.005
女性,回る,舞う,花,12,0.012
女性,回る,空,花,5,0.005
女性,回る,儚さ,美しさ,9,0.009
女性,回る,女性,美しさ,5,0.005
女性,回る,女性,花,2,0.002
女性,回る,舞う,儚さ,5,0.005
女性,回る,舞う,女性,4,0.004
女性,回る,美しさ,女性,1,0.001
女性,回る,NA,NA,100,0.1
