B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,舞う,146,0.146
踊り子,踊り,蝶,美しさ,511,0.511
踊り子,踊り,蝶,女性,105,0.105
踊り子,踊り,蝶,飛ぶ,132,0.132
踊り子,踊り,蝶,花,23,0.023
踊り子,踊り,蝶,羽,75,0.075
踊り子,踊り,蝶,空,2,0.002
踊り子,踊り,蝶,儚さ,1,0.001
踊り子,踊り,NA,NA,5,0.005
踊り子,舞台,蝶,羽,257,0.257
踊り子,舞台,蝶,花,345,0.345
踊り子,舞台,蝶,舞う,247,0.247
踊り子,舞台,蝶,女性,51,0.051
踊り子,舞台,蝶,飛ぶ,66,0.066
踊り子,舞台,蝶,儚さ,2,0.002
踊り子,舞台,蝶,空,18,0.018
踊り子,舞台,蝶,美しさ,9,0.009
踊り子,舞台,NA,NA,5,0.005
舞台,踊り,羽,舞う,135,0.135
舞台,踊り,花,美しさ,322,0.322
舞台,踊り,舞う,女性,81,0.081
舞台,踊り,羽,飛ぶ,119,0.119
舞台,踊り,舞う,美しさ,156,0.156
舞台,踊り,女性,美しさ,29,0.029
舞台,踊り,飛ぶ,舞う,4,0.004
舞台,踊り,女性,花,19,0.019
舞台,踊り,飛ぶ,羽,60,0.06
舞台,踊り,儚さ,美しさ,1,0.001
舞台,踊り,舞う,飛ぶ,1,0.001
舞台,踊り,空,羽,5,0.005
舞台,踊り,飛ぶ,空,1,0.001
舞台,踊り,美しさ,花,3,0.003
舞台,踊り,空,飛ぶ,10,0.01
舞台,踊り,花,女性,18,0.018
舞台,踊り,女性,飛ぶ,1,0.001
舞台,踊り,花,飛ぶ,1,0.001
舞台,踊り,羽,女性,1,0.001
舞台,踊り,美しさ,羽,1,0.001
舞台,踊り,花,儚さ,1,0.001
舞台,踊り,羽,空,1,0.001
舞台,踊り,羽,美しさ,1,0.001
舞台,踊り,美しさ,女性,5,0.005
舞台,踊り,花,舞う,3,0.003
舞台,踊り,舞う,羽,9,0.009
舞台,踊り,女性,舞う,2,0.002
舞台,踊り,空,舞う,2,0.002
舞台,踊り,飛ぶ,美しさ,1,0.001
舞台,踊り,空,美しさ,1,0.001
舞台,踊り,儚さ,花,1,0.001
舞台,踊り,NA,NA,5,0.005
