B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,音楽,蝶,花,303,0.303
踊り子,音楽,蝶,女性,188,0.188
踊り子,音楽,蝶,舞う,223,0.223
踊り子,音楽,蝶,美しさ,116,0.116
踊り子,音楽,蝶,儚さ,24,0.024
踊り子,音楽,蝶,空,33,0.033
踊り子,音楽,蝶,羽,16,0.016
踊り子,音楽,蝶,飛ぶ,80,0.08
踊り子,音楽,NA,NA,17,0.017
踊り子,舞台,蝶,舞う,467,0.467
踊り子,舞台,蝶,羽,175,0.175
踊り子,舞台,蝶,女性,39,0.039
踊り子,舞台,蝶,花,246,0.246
踊り子,舞台,蝶,美しさ,21,0.021
踊り子,舞台,蝶,飛ぶ,18,0.018
踊り子,舞台,蝶,空,10,0.01
踊り子,舞台,蝶,儚さ,7,0.007
踊り子,舞台,NA,NA,17,0.017
音楽,舞台,花,舞う,293,0.293
音楽,舞台,女性,舞う,38,0.038
音楽,舞台,舞う,羽,150,0.15
音楽,舞台,美しさ,女性,9,0.009
音楽,舞台,女性,花,143,0.143
音楽,舞台,美しさ,羽,17,0.017
音楽,舞台,美しさ,花,67,0.067
音楽,舞台,儚さ,花,15,0.015
音楽,舞台,美しさ,舞う,17,0.017
音楽,舞台,舞う,女性,25,0.025
音楽,舞台,空,舞う,24,0.024
音楽,舞台,羽,舞う,15,0.015
音楽,舞台,飛ぶ,舞う,79,0.079
音楽,舞台,空,美しさ,7,0.007
音楽,舞台,舞う,花,21,0.021
音楽,舞台,儚さ,美しさ,7,0.007
音楽,舞台,舞う,飛ぶ,17,0.017
音楽,舞台,舞う,空,8,0.008
音楽,舞台,花,女性,4,0.004
音楽,舞台,空,羽,2,0.002
音楽,舞台,美しさ,儚さ,5,0.005
音楽,舞台,舞う,美しさ,1,0.001
音楽,舞台,花,羽,4,0.004
音楽,舞台,女性,羽,2,0.002
音楽,舞台,羽,美しさ,1,0.001
音楽,舞台,女性,儚さ,1,0.001
音楽,舞台,舞う,儚さ,1,0.001
音楽,舞台,飛ぶ,美しさ,1,0.001
音楽,舞台,儚さ,舞う,1,0.001
音楽,舞台,女性,美しさ,4,0.004
音楽,舞台,美しさ,空,1,0.001
音楽,舞台,儚さ,女性,1,0.001
音楽,舞台,花,飛ぶ,1,0.001
音楽,舞台,花,空,1,0.001
音楽,舞台,NA,NA,17,0.017
