,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しさ,儚さ,羽,NA
0,"('踊り', '女性')",踊り,650,163,42,16,0,67,3,59,0
1,"('踊り', '女性')",女性,59,0,3,212,0,564,0,162,0
2,"('踊り', 'スカート')",踊り,615,209,51,4,2,38,6,71,4
3,"('踊り', 'スカート')",スカート,202,0,5,710,10,62,0,7,4
4,"('踊り', '夜')",踊り,501,91,233,14,0,94,1,59,7
5,"('踊り', '夜')",夜,6,1,9,43,333,56,543,2,7
6,"('踊り', '音楽')",踊り,368,111,207,76,2,51,7,159,19
7,"('踊り', '音楽')",音楽,148,34,53,134,77,477,24,34,19
8,"('踊り', '回る')",踊り,415,118,60,80,6,57,1,137,126
9,"('踊り', '回る')",回る,178,33,45,212,88,197,27,94,126
10,"('踊り', '揺れる')",踊り,429,97,175,53,1,104,1,84,56
11,"('踊り', '揺れる')",揺れる,78,8,44,214,41,214,230,115,56
12,"('踊り', '舞台')",踊り,348,166,28,62,1,24,2,362,7
13,"('踊り', '舞台')",舞台,385,39,61,106,13,264,4,121,7
14,"('女性', '踊り')",女性,232,14,489,97,13,124,5,25,1
15,"('女性', '踊り')",踊り,545,44,64,14,0,26,19,287,1
16,"('女性', 'スカート')",女性,75,0,47,84,0,773,2,11,8
17,"('女性', 'スカート')",スカート,23,1,7,849,0,108,3,1,8
18,"('女性', '夜')",女性,51,17,6,589,19,3,9,300,6
19,"('女性', '夜')",夜,11,9,3,13,519,24,414,1,6
20,"('女性', '音楽')",女性,135,11,12,464,11,117,24,208,18
21,"('女性', '音楽')",音楽,398,8,146,209,48,58,41,74,18
22,"('女性', '回る')",女性,19,38,5,571,43,93,18,107,106
23,"('女性', '回る')",回る,224,109,79,100,234,39,35,74,106
24,"('女性', '揺れる')",女性,109,35,3,424,50,50,17,263,49
25,"('女性', '揺れる')",揺れる,143,54,76,76,45,34,415,108,49
26,"('女性', '舞台')",女性,95,0,407,172,21,254,8,41,2
27,"('女性', '舞台')",舞台,520,9,124,27,10,29,20,259,2
