,source,target,weight
0,笑顔,花,0.66875
1,笑顔,粉雪,0.05
2,笑顔,羽毛,0.21875
3,笑顔,蝶,0.3875
4,笑顔,踊り子,0.3875
5,笑顔,笑う,0.95
6,笑顔,明るい,0.95
7,笑顔,嬉しい,0.89375
8,笑顔,美しい,0.725
9,笑顔,可愛い,0.8374999999999999
10,笑顔,表情,0.89375
11,笑顔,癒し,0.78125
12,笑顔,子供,0.8374999999999999
13,笑顔,咲く,0.7249999999999999
14,笑顔,きれい,0.78125
15,笑顔,鮮やか,0.5562499999999999
16,笑顔,枯れる,0.3875
17,笑顔,植物,0.33125000000000004
18,笑顔,成長,0.3875
19,笑顔,水,0.10625
20,笑顔,やわらかい,0.725
21,笑顔,冷たい,0.38749999999999996
22,笑顔,降る,0.10625
23,笑顔,融ける,0.275
24,笑顔,白い,0.275
25,笑顔,寒い,0.16250000000000003
26,笑顔,灰色,0.05
27,笑顔,あたたかい,0.8374999999999999
28,笑顔,鳥,0.16250000000000003
29,笑顔,布団,0.05
30,笑顔,ふわふわ,0.3875
31,笑顔,羽,0.3875
32,笑顔,軽い,0.33125
33,笑顔,舞う,0.33125000000000004
34,笑顔,飛ぶ,0.05
35,笑顔,女性,0.725
36,笑顔,空,0.21875000000000003
37,笑顔,美しさ,0.78125
38,笑顔,儚さ,0.275
39,笑顔,踊り,0.55625
40,笑顔,スカート,0.10625
41,笑顔,夜,0.05
42,笑顔,音楽,0.33125000000000004
43,笑顔,回る,0.10625000000000001
44,笑顔,揺れる,0.275
45,笑顔,舞台,0.275
46,花,笑顔,0.66875
47,花,粉雪,0.10625
48,花,羽毛,0.21875000000000003
49,花,蝶,0.78125
50,花,踊り子,0.44375
51,花,笑う,0.55625
52,花,明るい,0.8374999999999999
53,花,嬉しい,0.5
54,花,美しい,0.8374999999999999
55,花,可愛い,0.78125
56,花,表情,0.44375000000000003
57,花,癒し,0.8375
58,花,子供,0.55625
59,花,咲く,0.95
60,花,きれい,0.8374999999999999
61,花,鮮やか,0.78125
62,花,枯れる,0.95
63,花,植物,0.89375
64,花,成長,0.78125
65,花,水,0.55625
66,花,やわらかい,0.725
67,花,冷たい,0.05
68,花,降る,0.21875
69,花,融ける,0.05
70,花,白い,0.6125
71,花,寒い,0.10625
72,花,灰色,0.05
73,花,あたたかい,0.5
74,花,鳥,0.5
75,花,布団,0.05
76,花,ふわふわ,0.44375
77,花,羽,0.38750000000000007
78,花,軽い,0.5
79,花,舞う,0.5562499999999999
80,花,飛ぶ,0.21875
81,花,女性,0.725
82,花,空,0.44375
83,花,美しさ,0.89375
84,花,儚さ,0.725
85,花,踊り,0.44375
86,花,スカート,0.33125
87,花,夜,0.21875000000000003
88,花,音楽,0.275
89,花,回る,0.21875000000000003
90,花,揺れる,0.33125
91,花,舞台,0.275
92,粉雪,笑顔,0.275
93,粉雪,花,0.1625
94,粉雪,羽毛,0.6125
95,粉雪,蝶,0.10625
96,粉雪,踊り子,0.33125000000000004
97,粉雪,笑う,0.21875
98,粉雪,明るい,0.275
99,粉雪,嬉しい,0.21875
100,粉雪,美しい,0.66875
101,粉雪,可愛い,0.275
102,粉雪,表情,0.05
103,粉雪,癒し,0.275
104,粉雪,子供,0.33125000000000004
105,粉雪,咲く,0.10625000000000001
106,粉雪,きれい,0.78125
107,粉雪,鮮やか,0.21875000000000003
108,粉雪,枯れる,0.275
109,粉雪,植物,0.10625
110,粉雪,成長,0.10625
111,粉雪,水,0.44375000000000003
112,粉雪,やわらかい,0.89375
113,粉雪,冷たい,0.95
114,粉雪,降る,0.95
115,粉雪,融ける,0.66875
116,粉雪,白い,0.95
117,粉雪,寒い,0.95
118,粉雪,灰色,0.5
119,粉雪,あたたかい,0.10625000000000001
120,粉雪,鳥,0.1625
121,粉雪,布団,0.21875000000000003
122,粉雪,ふわふわ,0.89375
123,粉雪,羽,0.275
124,粉雪,軽い,0.8374999999999999
125,粉雪,舞う,0.89375
126,粉雪,飛ぶ,0.33125000000000004
127,粉雪,女性,0.16250000000000003
128,粉雪,空,0.89375
129,粉雪,美しさ,0.725
130,粉雪,儚さ,0.6125
131,粉雪,踊り,0.275
132,粉雪,スカート,0.05
133,粉雪,夜,0.38749999999999996
134,粉雪,音楽,0.3875
135,粉雪,回る,0.3875
136,粉雪,揺れる,0.275
137,粉雪,舞台,0.10625
138,羽毛,笑顔,0.33125000000000004
139,羽毛,花,0.10625
140,羽毛,粉雪,0.44375
141,羽毛,蝶,0.16250000000000003
142,羽毛,踊り子,0.21875000000000003
143,羽毛,笑う,0.21875
144,羽毛,明るい,0.33125000000000004
145,羽毛,嬉しい,0.275
146,羽毛,美しい,0.44375
147,羽毛,可愛い,0.33125000000000004
148,羽毛,表情,0.05
149,羽毛,癒し,0.725
150,羽毛,子供,0.38749999999999996
151,羽毛,咲く,0.05
152,羽毛,きれい,0.44375
153,羽毛,鮮やか,0.16250000000000003
154,羽毛,枯れる,0.05
155,羽毛,植物,0.05
156,羽毛,成長,0.10625000000000001
157,羽毛,水,0.05
158,羽毛,やわらかい,0.89375
159,羽毛,冷たい,0.05
160,羽毛,降る,0.275
161,羽毛,融ける,0.1625
162,羽毛,白い,0.89375
163,羽毛,寒い,0.275
164,羽毛,灰色,0.33125
165,羽毛,あたたかい,0.95
166,羽毛,鳥,0.8374999999999999
167,羽毛,布団,0.89375
168,羽毛,ふわふわ,0.95
169,羽毛,羽,0.95
170,羽毛,軽い,0.89375
171,羽毛,舞う,0.6125
172,羽毛,飛ぶ,0.6125
173,羽毛,女性,0.3875
174,羽毛,空,0.44375
175,羽毛,美しさ,0.3875
176,羽毛,儚さ,0.33125000000000004
177,羽毛,踊り,0.3875
178,羽毛,スカート,0.1625
179,羽毛,夜,0.10625
180,羽毛,音楽,0.10625
181,羽毛,回る,0.33125000000000004
182,羽毛,揺れる,0.3875
183,羽毛,舞台,0.10625
184,蝶,笑顔,0.38750000000000007
185,蝶,花,0.89375
186,蝶,粉雪,0.21875000000000003
187,蝶,羽毛,0.275
188,蝶,踊り子,0.66875
189,蝶,笑う,0.5
190,蝶,明るい,0.725
191,蝶,嬉しい,0.275
192,蝶,美しい,0.89375
193,蝶,可愛い,0.78125
194,蝶,表情,0.21875000000000003
195,蝶,癒し,0.6125
196,蝶,子供,0.44375
197,蝶,咲く,0.44375
198,蝶,きれい,0.89375
199,蝶,鮮やか,0.78125
200,蝶,枯れる,0.16250000000000003
201,蝶,植物,0.5
202,蝶,成長,0.725
203,蝶,水,0.10625
204,蝶,やわらかい,0.55625
205,蝶,冷たい,0.16250000000000003
206,蝶,降る,0.05
207,蝶,融ける,0.05
208,蝶,白い,0.33125000000000004
209,蝶,寒い,0.10625
210,蝶,灰色,0.21875000000000003
211,蝶,あたたかい,0.33125
212,蝶,鳥,0.5
213,蝶,布団,0.05
214,蝶,ふわふわ,0.55625
215,蝶,羽,0.89375
216,蝶,軽い,0.78125
217,蝶,舞う,0.89375
218,蝶,飛ぶ,0.95
219,蝶,女性,0.78125
220,蝶,空,0.6687500000000001
221,蝶,美しさ,0.78125
222,蝶,儚さ,0.66875
223,蝶,踊り,0.55625
224,蝶,スカート,0.38749999999999996
225,蝶,夜,0.33125000000000004
226,蝶,音楽,0.44375
227,蝶,回る,0.33125
228,蝶,揺れる,0.38749999999999996
229,蝶,舞台,0.44375000000000003
230,踊り子,笑顔,0.5
231,踊り子,花,0.725
232,踊り子,粉雪,0.275
233,踊り子,羽毛,0.33125000000000004
234,踊り子,蝶,0.725
235,踊り子,笑う,0.55625
236,踊り子,明るい,0.6125
237,踊り子,嬉しい,0.3875
238,踊り子,美しい,0.78125
239,踊り子,可愛い,0.66875
240,踊り子,表情,0.44375
241,踊り子,癒し,0.5
242,踊り子,子供,0.16250000000000003
243,踊り子,咲く,0.5
244,踊り子,きれい,0.725
245,踊り子,鮮やか,0.44375
246,踊り子,枯れる,0.10625
247,踊り子,植物,0.21875000000000003
248,踊り子,成長,0.5
249,踊り子,水,0.05
250,踊り子,やわらかい,0.3875
251,踊り子,冷たい,0.1625
252,踊り子,降る,0.16250000000000003
253,踊り子,融ける,0.05
254,踊り子,白い,0.275
255,踊り子,寒い,0.10625
256,踊り子,灰色,0.05
257,踊り子,あたたかい,0.21875
258,踊り子,鳥,0.3875
